# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+0.0000000000000000e+00 +3.9270956110090752e-03 +2.0028127222947233e-06 +1.5929181320810203e+01 +2.9134119468649176e+11 
+1.0000000000000001e-01 +3.9270857522122841e-03 +5.3619281180641975e-06 +1.5929686568909119e+01 +2.9088983906638849e+11 
+2.0000000000000001e-01 +3.9270584029079420e-03 +1.4328243965493194e-05 +1.5931071594279512e+01 +2.8966253584152863e+11 
+3.0000000000000004e-01 +3.9270169037250785e-03 +2.7235214753437749e-05 +1.5933140318532182e+01 +2.8784943046497668e+11 
+4.0000000000000002e-01 +3.9269645952927446e-03 +4.2416294971718012e-05 +1.5935696663277636e+01 +2.8564066838990875e+11 
+5.0000000000000000e-01 +3.9269048182399803e-03 +5.8204939109399898e-05 +1.5938544550126384e+01 +2.8322639506946210e+11 
+6.0000000000000009e-01 +3.9268409131958289e-03 +7.2934601656165810e-05 +1.5941487900689102e+01 +2.8079675595676868e+11 
+7.0000000000000007e-01 +3.9267762207893259e-03 +8.4938737101173479e-05 +1.5944330636576513e+01 +2.7854189650489301e+11 
+8.0000000000000004e-01 +3.9267140816495183e-03 +9.2550799933928260e-05 +1.5946876679399098e+01 +2.7665196216701392e+11 
+9.0000000000000002e-01 +3.9266578364054493e-03 +9.4104244643791179e-05 +1.5948929950767379e+01 +2.7531709839629962e+11 
+1.0000000000000000e+00 +3.9266108256861493e-03 +8.7932525720156086e-05 +1.5950294372292250e+01 +2.7472745064577063e+11 
+1.1000000000000001e+00 +3.9265753956496474e-03 +7.2969610011205989e-05 +1.5950832335754120e+01 +2.7501473043988116e+11 
+1.2000000000000002e+00 +3.9265499145698223e-03 +5.0551513800503497e-05 +1.5950640113615165e+01 +2.7607691358745587e+11 
+1.3000000000000000e+00 +3.9265317562495643e-03 +2.2614765730511937e-05 +1.5949872448506458e+01 +2.7775354196900238e+11 
+1.4000000000000001e+00 +3.9265182944917404e-03 -8.9041055562267129e-06 +1.5948684083060055e+01 +2.7988415746463385e+11 
+1.5000000000000000e+00 +3.9265069030992167e-03 -4.2068571417577085e-05 +1.5947229759907776e+01 +2.8230830195457751e+11 
+1.6000000000000001e+00 +3.9264949558748680e-03 -7.4942103210800422e-05 +1.5945664221681261e+01 +2.8486551731911798e+11 
+1.7000000000000002e+00 +3.9264798266215638e-03 -1.0558817229360396e-04 +1.5944142211012291e+01 +2.8739534543849023e+11 
+1.8000000000000000e+00 +3.9264588891421755e-03 -1.3207025002360311e-04 +1.5942818470532695e+01 +2.8973732819289825e+11 
+1.9000000000000001e+00 +3.9264295172395762e-03 -1.5245180775844605e-04 +1.5941847742874138e+01 +2.9173100746262140e+11 
+2.0000000000000000e+00 +3.9263890847166380e-03 -1.6479631685546622e-04 +1.5941384770668380e+01 +2.9321592512788947e+11 
+2.1000000000000001e+00 +3.9263356195623038e-03 -1.6774682618588609e-04 +1.5941545388312599e+01 +2.9407375491581140e+11 
+2.2000000000000002e+00 +3.9262697665097971e-03 -1.6226469467442534e-04 +1.5942289797266168e+01 +2.9435469794071313e+11 
+2.3000000000000003e+00 +3.9261928244784389e-03 -1.4989085875905003e-04 +1.5943539290753142e+01 +2.9415108716402533e+11 
+2.4000000000000004e+00 +3.9261060923875364e-03 -1.3216625487821814e-04 +1.5945215161998084e+01 +2.9355525554701776e+11 
+2.5000000000000000e+00 +3.9260108691563742e-03 -1.1063181946994159e-04 +1.5947238704225969e+01 +2.9265953605080444e+11 
+2.6000000000000001e+00 +3.9259084537042804e-03 -8.6828488972271760e-05 +1.5949531210660846e+01 +2.9155626163682385e+11 
+2.7000000000000002e+00 +3.9258001449505604e-03 -6.2297199823482932e-05 +1.5952013974527123e+01 +2.9033776526639508e+11 
+2.8000000000000003e+00 +3.9256872418145065e-03 -3.8578888461751031e-05 +1.5954608289049782e+01 +2.8909637990062701e+11 
+2.9000000000000004e+00 +3.9255710432154339e-03 -1.7214491325245451e-05 +1.5957235447452957e+01 +2.8792443850095020e+11 
+3.0000000000000000e+00 +3.9254528480726514e-03 +2.5505514784477082e-07 +1.5959816742961252e+01 +2.8691427402859302e+11 
+3.1000000000000001e+00 +3.9253336607898408e-03 +1.2663340331241613e-05 +1.5962290613339361e+01 +2.8613758826343842e+11 
+3.2000000000000002e+00 +3.9252133077082290e-03 +2.0342056846068528e-05 +1.5964664074512388e+01 +2.8558355825982520e+11 
+3.3000000000000003e+00 +3.9250913206534208e-03 +2.3997423124907478e-05 +1.5966961286945546e+01 +2.8522072989072107e+11 
+3.4000000000000004e+00 +3.9249672314510290e-03 +2.4335657600727368e-05 +1.5969206411104013e+01 +2.8501764902908331e+11 
+3.5000000000000000e+00 +3.9248405719266516e-03 +2.2062978706313461e-05 +1.5971423607453131e+01 +2.8494286154785358e+11 
+3.6000000000000001e+00 +3.9247108739059022e-03 +1.7885604874529735e-05 +1.5973637036458125e+01 +2.8496491331996844e+11 
+3.7000000000000002e+00 +3.9245776692143830e-03 +1.2509754538161452e-05 +1.5975870858584177e+01 +2.8505235021842920e+11 
+3.8000000000000003e+00 +3.9244404896777024e-03 +6.6416461300397889e-06 +1.5978149234296591e+01 +2.8517371811612836e+11 
+3.9000000000000004e+00 +3.9242988671214646e-03 +9.8749808308774838e-07 +1.5980496324060553e+01 +2.8529756288606989e+11 
+4.0000000000000000e+00 +3.9241523333712839e-03 -3.7464711700340159e-06 +1.5982936288341218e+01 +2.8539243040121881e+11 
+4.1000000000000005e+00 +3.9240004881359236e-03 -7.0083975405479139e-06 +1.5985489432250491e+01 +2.8543262295688959e+11 
+4.2000000000000002e+00 +3.9238432026568303e-03 -8.8638343162907569e-06 +1.5988160639485825e+01 +2.8541546853815759e+11 
+4.2999999999999998e+00 +3.9236804160586274e-03 -9.5326891293562689e-06 +1.5990950938390684e+01 +2.8534405155267352e+11 
+4.4000000000000004e+00 +3.9235120674659032e-03 -9.2348696118709534e-06 +1.5993861357309664e+01 +2.8522145640773236e+11 
+4.5000000000000000e+00 +3.9233380960032810e-03 -8.1902833957120991e-06 +1.5996892924586280e+01 +2.8505076751095868e+11 
+4.6000000000000005e+00 +3.9231584407953693e-03 -6.6188381129209538e-06 +1.6000046668564533e+01 +2.8483506926983447e+11 
+4.7000000000000002e+00 +3.9229730409667835e-03 -4.7404413957420787e-06 +1.6003323617588240e+01 +2.8457744609190131e+11 
+4.8000000000000007e+00 +3.9227818356421243e-03 -2.7750008760199700e-06 +1.6006724800001511e+01 +2.8428098238458655e+11 
+4.9000000000000004e+00 +3.9225847639460069e-03 -9.4242418588769278e-07 +1.6010251244148165e+01 +2.8394876255543958e+11 
+5.0000000000000000e+00 +3.9223817650030400e-03 +5.3738104277746643e-07 +1.6013903978372223e+01 +2.8358387101192151e+11 
+5.1000000000000005e+00 +3.9221728080562545e-03 +1.4959111466477813e-06 +1.6017682010875042e+01 +2.8319070025457745e+11 
+5.2000000000000002e+00 +3.9219579828223636e-03 +1.9702783380759894e-06 +1.6021576269288545e+01 +2.8277887515576630e+11 
+5.3000000000000007e+00 +3.9217374091364936e-03 +2.0489987979709445e-06 +1.6025575661102192e+01 +2.8235932868088153e+11 
+5.4000000000000004e+00 +3.9215112068337705e-03 +1.8205887074972852e-06 +1.6029669093805555e+01 +2.8194299379525183e+11 
+5.5000000000000000e+00 +3.9212794957493302e-03 +1.3735642479442595e-06 +1.6033845474887929e+01 +2.8154080346430188e+11 
+5.6000000000000005e+00 +3.9210423957182937e-03 +7.9644160027319093e-07 +1.6038093711838982e+01 +2.8116369065334479e+11 
+5.7000000000000002e+00 +3.9208000265757948e-03 +1.7773694545851930e-07 +1.6042402712148032e+01 +2.8082258832780249e+11 
+5.8000000000000007e+00 +3.9205525081569626e-03 -3.9403353512524536e-07 +1.6046761383304645e+01 +2.8052842945300891e+11 
