# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+5.9000000000000004e+00 +3.9202999602969213e-03 -8.3035366079879639e-07 +1.6051158632798341e+01 +2.8029214699430829e+11 
+6.0000000000000000e+00 +3.9200425028307999e-03 -1.0427072498924908e-06 +1.6055583368118580e+01 +2.8012467391710968e+11 
+6.1000000000000005e+00 +3.9197801040411102e-03 -9.6850960148236612e-07 +1.6060032984513537e+01 +2.8002966636408600e+11 
+6.2000000000000002e+00 +3.9195121259998677e-03 -6.4890193321330012e-07 +1.6064538828266464e+01 +2.7998167318721497e+11 
+6.3000000000000007e+00 +3.9192377792264428e-03 -1.5095694243304707e-07 +1.6069140733420099e+01 +2.7994796641551752e+11 
+6.4000000000000004e+00 +3.9189562742402368e-03 +4.5825267296628192e-07 +1.6073878534016270e+01 +2.7989581807834143e+11 
+6.5000000000000000e+00 +3.9186668215606324e-03 +1.1116542157877787e-06 +1.6078792064097406e+01 +2.7979250020482190e+11 
+6.6000000000000005e+00 +3.9183686317070116e-03 +1.7421749885918699e-06 +1.6083921157705806e+01 +2.7960528482416925e+11 
+6.7000000000000002e+00 +3.9180609151987763e-03 +2.2827422936110561e-06 +1.6089305648883400e+01 +2.7930144396564062e+11 
+6.8000000000000007e+00 +3.9177428825552980e-03 +2.6662834335828444e-06 +1.6094985371672792e+01 +2.7884824965835809e+11 
+6.9000000000000004e+00 +3.9174137442959684e-03 +2.8257257108643469e-06 +1.6101000160116193e+01 +2.7821297393150342e+11 
+7.0000000000000000e+00 +3.9170727109401875e-03 +2.6939964279044955e-06 +1.6107389848255394e+01 +2.7736288881444281e+11 
+7.1000000000000005e+00 +3.9167193050538823e-03 +2.2276797691074085e-06 +1.6114176259563834e+01 +2.7628078706470532e+11 
+7.2000000000000002e+00 +3.9163542973892525e-03 +1.4779874454059253e-06 +1.6121309175236291e+01 +2.7501154435423956e+11 
+7.3000000000000007e+00 +3.9159787707450265e-03 +5.1978804960280935e-07 +1.6128720365898850e+01 +2.7361555708330789e+11 
+7.4000000000000004e+00 +3.9155938079199568e-03 -5.7204982509910412e-07 +1.6136341602177016e+01 +2.7215322165236194e+11 
+7.5000000000000000e+00 +3.9152004917127805e-03 -1.7226575862184186e-06 +1.6144104654696786e+01 +2.7068493446165878e+11 
+7.6000000000000005e+00 +3.9147999049222344e-03 -2.8571666407293801e-06 +1.6151941294084182e+01 +2.6927109191147882e+11 
+7.7000000000000002e+00 +3.9143931303470747e-03 -3.9007083957964310e-06 +1.6159783290964494e+01 +2.6797209040234903e+11 
+7.8000000000000007e+00 +3.9139812507860278e-03 -4.7784142586168065e-06 +1.6167562415963975e+01 +2.6684832633444080e+11 
+7.9000000000000004e+00 +3.9135653490378480e-03 -5.4154156364008603e-06 +1.6175210439708078e+01 +2.6596019610823959e+11 
+8.0000000000000000e+00 +3.9131465079012681e-03 -5.7368439360834861e-06 +1.6182659132822963e+01 +2.6536809612395575e+11 
+8.0999999999999996e+00 +3.9127253557243464e-03 -5.6907386959126990e-06 +1.6189865767775881e+01 +2.6511081973428342e+11 
+8.2000000000000011e+00 +3.9123007030523651e-03 -5.3167719775657290e-06 +1.6196889624401607e+01 +2.6514074810068958e+11 
+8.3000000000000007e+00 +3.9118709059799269e-03 -4.6775239736918855e-06 +1.6203815484376268e+01 +2.6538865933703415e+11 
+8.4000000000000004e+00 +3.9114343206016304e-03 -3.8355748766453392e-06 +1.6210728129376058e+01 +2.6578533155714597e+11 
+8.5000000000000000e+00 +3.9109893030120774e-03 -2.8535048793705336e-06 +1.6217712341077153e+01 +2.6626154287487192e+11 
+8.5999999999999996e+00 +3.9105342093058619e-03 -1.7938941742413179e-06 +1.6224852901156002e+01 +2.6674807140394745e+11 
+8.7000000000000011e+00 +3.9100673955775834e-03 -7.1932295398570101e-07 +1.6232234591288883e+01 +2.6717569525815204e+11 
+8.8000000000000007e+00 +3.9095872179218437e-03 +3.0762858903558388e-07 +1.6239942193151837e+01 +2.6747519255139752e+11 
+8.9000000000000004e+00 +3.9090920324332395e-03 +1.2243802618387451e-06 +1.6248060488421160e+01 +2.6757734139748157e+11 
+9.0000000000000000e+00 +3.9085801952063728e-03 +1.9683518720433732e-06 +1.6256674258773099e+01 +2.6741291991019922e+11 
+9.0999999999999996e+00 +3.9080504918146798e-03 +2.4923645410367664e-06 +1.6265843552685254e+01 +2.6693396560896671e+11 
+9.2000000000000011e+00 +3.9075034257469530e-03 +2.8108446454672334e-06 +1.6275529485840192e+01 +2.6617755363574689e+11 
+9.3000000000000007e+00 +3.9069399299708476e-03 +2.9536198764591089e-06 +1.6285668440721164e+01 +2.6520201853832635e+11 
+9.4000000000000004e+00 +3.9063609374539931e-03 +2.9505179249202968e-06 +1.6296196799812098e+01 +2.6406569486425275e+11 
+9.5000000000000000e+00 +3.9057673811640206e-03 +2.8313664814438918e-06 +1.6307050945596977e+01 +2.6282691716105566e+11 
+9.6000000000000014e+00 +3.9051601940685784e-03 +2.6259932371148770e-06 +1.6318167260559242e+01 +2.6154401997646707e+11 
+9.7000000000000011e+00 +3.9045403091353087e-03 +2.3642258826050482e-06 +1.6329482127182434e+01 +2.6027533785816711e+11 
+9.8000000000000007e+00 +3.9039086593318359e-03 +2.0758921089993905e-06 +1.6340931927950674e+01 +2.5907920535365411e+11 
+9.9000000000000004e+00 +3.9032661776258145e-03 +1.7908196070746363e-06 +1.6352453045347229e+01 +2.5801395701069907e+11 
+1.0000000000000000e+01 +3.9026137969848797e-03 +1.5388360676009600e-06 +1.6363981861855958e+01 +2.5713792737687302e+11 
+1.0100000000000001e+01 +3.9019521022337026e-03 +1.3440084670732837e-06 +1.6375474164988752e+01 +2.5649274058876025e+11 
+1.0200000000000001e+01 +3.9012802856251078e-03 +1.2073609238951841e-06 +1.6386963362369649e+01 +2.5605317913895108e+11 
+1.0300000000000001e+01 +3.9005971912689629e-03 +1.1241568420834894e-06 +1.6398502266650866e+01 +2.5577731510895047e+11 
+1.0400000000000000e+01 +3.8999016632751296e-03 +1.0896596258124339e-06 +1.6410143690484485e+01 +2.5562322058033859e+11 
+1.0500000000000000e+01 +3.8991925457534707e-03 +1.0991326789611170e-06 +1.6421940446522715e+01 +2.5554896763464886e+11 
+1.0600000000000001e+01 +3.8984686828138480e-03 +1.1478394056644217e-06 +1.6433945347417911e+01 +2.5551262835333691e+11 
+1.0700000000000001e+01 +3.8977289185661312e-03 +1.2310432098407985e-06 +1.6446211205821935e+01 +2.5547227481806339e+11 
+1.0800000000000001e+01 +3.8969720971201737e-03 +1.3440074955267522e-06 +1.6458790834387205e+01 +2.5538597911029684e+11 
+1.0900000000000000e+01 +3.8961970625858385e-03 +1.4819956669227506e-06 +1.6471737045766009e+01 +2.5521181331151886e+11 
+1.1000000000000000e+01 +3.8954026590729937e-03 +1.6402711276586697e-06 +1.6485102652610319e+01 +2.5490784950336148e+11 
+1.1100000000000001e+01 +3.8945879362257182e-03 +1.8137189674811562e-06 +1.6498928070429024e+01 +2.5444330150972147e+11 
+1.1200000000000001e+01 +3.8937527658249580e-03 +1.9957110169967519e-06 +1.6513204126157120e+01 +2.5383195012440536e+11 
+1.1300000000000001e+01 +3.8928972251858771e-03 +2.1792407921548634e-06 +1.6527909249586404e+01 +2.5309871788353629e+11 
+1.1400000000000000e+01 +3.8920213916236279e-03 +2.3573018092000302e-06 +1.6543021870508756e+01 +2.5226852732322693e+11 
+1.1500000000000000e+01 +3.8911253424533808e-03 +2.5228875841997137e-06 +1.6558520418715847e+01 +2.5136630097964194e+11 
+1.1600000000000001e+01 +3.8902091549903005e-03 +2.6689916330246176e-06 +1.6574383323999228e+01 +2.5041696138901083e+11 
+1.1700000000000001e+01 +3.8892729065495434e-03 +2.7886074720373354e-06 +1.6590589016150709e+01 +2.4944543108748267e+11 
+1.1800000000000001e+01 +3.8883166744462768e-03 +2.8747286171675979e-06 +1.6607115924962109e+01 +2.4847663261114676e+11 
+1.1900000000000000e+01 +3.8873405359956563e-03 +2.9203485843779294e-06 +1.6623942480225132e+01 +2.4753548849620413e+11 
+1.2000000000000000e+01 +3.8863445685128461e-03 +2.9184608898800774e-06 +1.6641047111731574e+01 +2.4664692127878568e+11 
+1.2100000000000001e+01 +3.8853286838398571e-03 +2.8652894793230024e-06 +1.6658416961844281e+01 +2.4582816469815387e+11 
+1.2200000000000001e+01 +3.8842921319260358e-03 +2.7699800162488097e-06 +1.6676074023211658e+01 +2.4506569730573718e+11 
+1.2300000000000001e+01 +3.8832339972475842e-03 +2.6449085938335719e-06 +1.6694049001053315e+01 +2.4433830885605927e+11 
+1.2400000000000000e+01 +3.8821533642807026e-03 +2.5024513053648574e-06 +1.6712372600588807e+01 +2.4362478910360498e+11 
+1.2500000000000000e+01 +3.8810493175015916e-03 +2.3549842440908836e-06 +1.6731075527037611e+01 +2.4290392780295508e+11 
+1.2600000000000001e+01 +3.8799209413864430e-03 +2.2148835029057080e-06 +1.6750188485619507e+01 +2.4215451470854504e+11 
+1.2700000000000001e+01 +3.8787673204114643e-03 +2.0945251754051498e-06 +1.6769742181553802e+01 +2.4135533957498688e+11 
+1.2800000000000001e+01 +3.8775875390528432e-03 +2.0062853545816433e-06 +1.6789767320060342e+01 +2.4048519215671603e+11 
+1.2900000000000000e+01 +3.8763806817867915e-03 +1.9625401335522350e-06 +1.6810294606358447e+01 +2.3952286220830814e+11 
+1.3000000000000000e+01 +3.8751458330894928e-03 +1.9756656056831961e-06 +1.6831354745668026e+01 +2.3844713948419604e+11 
+1.3100000000000001e+01 +3.8738822814518813e-03 +2.0491530056929351e-06 +1.6852966314786862e+01 +2.3724799455729309e+11 
+1.3200000000000001e+01 +3.8725901314238280e-03 +2.1509541354529742e-06 +1.6875099376825148e+01 +2.3596012127435907e+11 
+1.3300000000000001e+01 +3.8712696915699134e-03 +2.2401359383181474e-06 +1.6897711866472285e+01 +2.3462939430016449e+11 
+1.3400000000000000e+01 +3.8699212704547195e-03 +2.2757653578662753e-06 +1.6920761718417246e+01 +2.3330168829970560e+11 
+1.3500000000000000e+01 +3.8685451766428520e-03 +2.2169093373931628e-06 +1.6944206867348708e+01 +2.3202287793799686e+11 
+1.3600000000000001e+01 +3.8671417186989026e-03 +2.0226348205881268e-06 +1.6968005247955457e+01 +2.3083883788009164e+11 
+1.3700000000000001e+01 +3.8657112051874469e-03 +1.6520087505961257e-06 +1.6992114794926827e+01 +2.2979544279079932e+11 
+1.3800000000000001e+01 +3.8642539446730856e-03 +1.0640980710736842e-06 +1.7016493442951564e+01 +2.2893856733514993e+11 
+1.3900000000000000e+01 +3.8627702457204060e-03 +2.1796972539530932e-07 +1.7041099126718510e+01 +2.2831408617816055e+11 
+1.4000000000000000e+01 +3.8612604168940003e-03 -9.2730934295955514e-07 +1.7065889780916748e+01 +2.2796787398473138e+11 
+1.4100000000000001e+01 +3.8597241580025535e-03 -2.3733168813400794e-06 +1.7090856544495971e+01 +2.2791594430324872e+11 
+1.4200000000000001e+01 +3.8581587338311074e-03 -3.9642094000688412e-06 +1.7116123373450119e+01 +2.2805486621533960e+11 
+1.4300000000000001e+01 +3.8565608004088011e-03 -5.5047881005003498e-06 +1.7141847428034129e+01 +2.2825134768593546e+11 
+1.4400000000000000e+01 +3.8549270137647773e-03 -6.7998541834709878e-06 +1.7168185868502565e+01 +2.2837209668012601e+11 
+1.4500000000000000e+01 +3.8532540299281741e-03 -7.6542088504729892e-06 +1.7195295855110245e+01 +2.2828382116291531e+11 
+1.4600000000000001e+01 +3.8515385049281326e-03 -7.8726533025198210e-06 +1.7223334548111989e+01 +2.2785322909927115e+11 
+1.4700000000000001e+01 +3.8497770947937826e-03 -7.2599887407757943e-06 +1.7252459107762771e+01 +2.2694702845414310e+11 
+1.4800000000000001e+01 +3.8479664555542792e-03 -5.6210163664052133e-06 +1.7282826694316960e+01 +2.2543192719268832e+11 
+1.4900000000000000e+01 +3.8461032432387469e-03 -2.7605373805789489e-06 +1.7314594468029764e+01 +2.2317463327972928e+11 
+1.5000000000000000e+01 +3.8441841138763355e-03 +1.5166470154206342e-06 +1.7347919589155619e+01 +2.2004185468043094e+11 
+1.5100000000000001e+01 +3.8422069836642797e-03 +7.3023726993154392e-06 +1.7382885753677375e+01 +2.1596717710048544e+11 
+1.5200000000000001e+01 +3.8401748094722588e-03 +1.4275023863296613e-05 +1.7419282800488041e+01 +2.1115169720914978e+11 
+1.5300000000000001e+01 +3.8380918083380628e-03 +2.2009621778638273e-05 +1.7456827104208180e+01 +2.0586338941659207e+11 
+1.5400000000000000e+01 +3.8359621972994563e-03 +3.0081187716122640e-05 +1.7495235039459150e+01 +2.0037022813267435e+11 
+1.5500000000000000e+01 +3.8337901933942248e-03 +3.8064742947122212e-05 +1.7534222980861550e+01 +1.9494018776754663e+11 
+1.5600000000000001e+01 +3.8315800136601566e-03 +4.5535308742438899e-05 +1.7573507303036148e+01 +1.8984124273128369e+11 
+1.5700000000000001e+01 +3.8293358751350284e-03 +5.2067906373307450e-05 +1.7612804380603869e+01 +1.8534136743391876e+11 
+1.5800000000000001e+01 +3.8270619948566117e-03 +5.7237557110680614e-05 +1.7651830588185796e+01 +1.8170853628541766e+11 
+1.5900000000000000e+01 +3.8247625898626945e-03 +6.0619282225681664e-05 +1.7690302300402514e+01 +1.7921072369593298e+11 
+1.6000000000000000e+01 +3.8224418771910696e-03 +6.1788102989276489e-05 +1.7727935891874747e+01 +1.7811590407554730e+11 
+1.6100000000000001e+01 +3.8201023585329643e-03 +6.0462099267437659e-05 +1.7764544536133489e+01 +1.7860424085914059e+11 
+1.6199999999999999e+01 +3.8177396741935340e-03 +5.6931585304912204e-05 +1.7800328602347353e+01 +1.8050465358188007e+11 
+1.6300000000000001e+01 +3.8153477491313838e-03 +5.1629933941303000e-05 +1.7835585258595280e+01 +1.8355825080367325e+11 
+1.6400000000000002e+01 +3.8129205083051298e-03 +4.4990518016127668e-05 +1.7870611672955700e+01 +1.8750614108462238e+11 
+1.6500000000000000e+01 +3.8104518766733783e-03 +3.7446710368897305e-05 +1.7905705013507454e+01 +1.9208943298469202e+11 
+1.6600000000000001e+01 +3.8079357791947414e-03 +2.9431883839391862e-05 +1.7941162448329120e+01 +1.9704923506393246e+11 
+1.6699999999999999e+01 +3.8053661408278274e-03 +2.1379411266873208e-05 +1.7977281145499582e+01 +2.0212665588225906e+11 
+1.6800000000000001e+01 +3.8027368865312526e-03 +1.3722665491173777e-05 +1.8014358273097258e+01 +2.0706280399978952e+11 
+1.6900000000000002e+01 +3.8000419412636257e-03 +6.8950193517784110e-06 +1.8052690999200941e+01 +2.1159878797648334e+11 
+1.7000000000000000e+01 +3.7972752299835536e-03 +1.3298456883621444e-06 +1.8092576491889375e+01 +2.1547571637233881e+11 
+1.7100000000000001e+01 +3.7944319341169661e-03 -2.6475157464213966e-06 +1.8134238319934727e+01 +2.1850145449798923e+11 
+1.7199999999999999e+01 +3.7915122609590195e-03 -5.1438575464301961e-06 +1.8177605654884104e+01 +2.2075089466621790e+11 
+1.7300000000000001e+01 +3.7885176742722139e-03 -6.3740053922813119e-06 +1.8222534068977726e+01 +2.2236568594054172e+11 
+1.7400000000000002e+01 +3.7854496378190074e-03 -6.5527849646573876e-06 +1.8268879134456608e+01 +2.2348747738422574e+11 
+1.7500000000000000e+01 +3.7823096153618983e-03 -5.8950219442345048e-06 +1.8316496423560928e+01 +2.2425791806079462e+11 
+1.7600000000000001e+01 +3.7790990706633573e-03 -4.6155420117871267e-06 +1.8365241508531433e+01 +2.2481865703362244e+11 
+1.7699999999999999e+01 +3.7758194674858609e-03 -2.9291708477421140e-06 +1.8414969961608833e+01 +2.2531134336605219e+11 
+1.7800000000000001e+01 +3.7724722695918998e-03 -1.0507341329526299e-06 +1.8465537355033288e+01 +2.2587762612164218e+11 
+1.7900000000000002e+01 +3.7690589407439459e-03 +8.0494245197082729e-07 +1.8516799261045740e+01 +2.2665915436366278e+11 
+1.8000000000000000e+01 +3.7655809447044841e-03 +2.4230332263587320e-06 +1.8568611251886519e+01 +2.2779757715562036e+11 
+1.8100000000000001e+01 +3.7620391828520963e-03 +3.6327624426034628e-06 +1.8620857375907605e+01 +2.2940783841248721e+11 
+1.8199999999999999e+01 +3.7584323070297835e-03 +4.4395540845973434e-06 +1.8673535585906251e+01 +2.3149806145560199e+11 
+1.8300000000000001e+01 +3.7547584066966433e-03 +4.8928820693733089e-06 +1.8726672310791304e+01 +2.3404966445782626e+11 
+1.8400000000000002e+01 +3.7510155713117769e-03 +5.0422203138265594e-06 +1.8780293979471409e+01 +2.3704406559209164e+11 
+1.8500000000000000e+01 +3.7472018903343001e-03 +4.9370427351474304e-06 +1.8834427020854914e+01 +2.4046268303141019e+11 
+1.8600000000000001e+01 +3.7433154532232941e-03 +4.6268232501327484e-06 +1.8889097863851035e+01 +2.4428693494853442e+11 
+1.8699999999999999e+01 +3.7393543494378808e-03 +4.1610357757564169e-06 +1.8944332937367914e+01 +2.4849823951653876e+11 
+1.8800000000000001e+01 +3.7353166684371410e-03 +3.5891542289857836e-06 +1.9000158670314857e+01 +2.5307801490811343e+11 
+1.8900000000000002e+01 +3.7312004996801966e-03 +2.9606525270046245e-06 +1.9056601491599896e+01 +2.5800767929642365e+11 
+1.9000000000000000e+01 +3.7270039326261386e-03 +2.3250045866228836e-06 +1.9113687830132090e+01 +2.6326865085422971e+11 
+1.9100000000000001e+01 +3.7227252093084335e-03 +1.7252610514907369e-06 +1.9171433900823985e+01 +2.6885063576145795e+11 
+1.9200000000000003e+01 +3.7183631820579413e-03 +1.1787794731505491e-06 +1.9229815062605688e+01 +2.7477649222526083e+11 
+1.9300000000000001e+01 +3.7139168557799320e-03 +6.9649412893555594e-07 +1.9288796460409948e+01 +2.8107736646023975e+11 
+1.9400000000000002e+01 +3.7093852353796025e-03 +2.8933929699880940e-07 +1.9348343239171363e+01 +2.8778440468034454e+11 
+1.9500000000000000e+01 +3.7047673257622166e-03 -3.1750744847682365e-08 +1.9408420543822889e+01 +2.9492875310010913e+11 
+1.9600000000000001e+01 +3.7000621318329916e-03 -2.5584171867385746e-07 +1.9468993519298682e+01 +3.0254155793362616e+11 
+1.9700000000000003e+01 +3.6952686584971642e-03 -3.7199934662835642e-07 +1.9530027310532340e+01 +3.1065396539520898e+11 
+1.9800000000000001e+01 +3.6903859106599702e-03 -3.6928935085326109e-07 +1.9591487062457585e+01 +3.1929712169911108e+11 
+1.9900000000000002e+01 +3.6854128932266631e-03 -2.3677745339883410e-07 +1.9653337920007541e+01 +3.2850217305978326e+11 
+2.0000000000000000e+01 +3.6803486111024537e-03 +3.6470623599401090e-08 +1.9715545028116562e+01 +3.3830026569126642e+11 
+2.0100000000000001e+01 +3.6751921140531535e-03 +4.5376303874579506e-07 +1.9778067574274242e+01 +3.4872426127292786e+11 
+2.0200000000000003e+01 +3.6699426312868416e-03 +9.8790347472570162e-07 +1.9840840916194690e+01 +3.5981388334417529e+11 
+2.0300000000000001e+01 +3.6645994368721562e-03 +1.6040694946101885e-06 +1.9903794454148692e+01 +3.7161057090923969e+11 
+2.0400000000000002e+01 +3.6591618048777410e-03 +2.2674386617654565e-06 +1.9966857588406501e+01 +3.8415576297251788e+11 
+2.0500000000000000e+01 +3.6536290093722385e-03 +2.9431885396757604e-06 +2.0029959719238640e+01 +3.9749089853836548e+11 
+2.0600000000000001e+01 +3.6480003244243001e-03 +3.5964966915236626e-06 +2.0093030246915372e+01 +4.1165741661117413e+11 
+2.0700000000000003e+01 +3.6422750241025528e-03 +4.1925406805310755e-06 +2.0155998571707485e+01 +4.2669675619518518e+11 
+2.0800000000000001e+01 +3.6364523824756519e-03 +4.6964980700969961e-06 +2.0218794093885293e+01 +4.4265035629476965e+11 
