# multipoles
# s[mm] polynom_a[n=1][T/m^n] polynom_a[n=5][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=13][T/m^n] 
+0.0000000000000000e+00 +1.6394653037043951e+00 +4.8612793439057386e+06 -5.2279029362450625e+13 -2.7968419714602870e+20 
+1.0000000000000001e-01 +1.6394546732301558e+00 +4.8683358868016051e+06 -5.2930879309122453e+13 -2.5837822543424412e+20 
+2.0000000000000001e-01 +1.6394387648156876e+00 +4.8791261802410055e+06 -5.4136854569409602e+13 -2.0855260559445928e+20 
+3.0000000000000004e-01 +1.6394189756746558e+00 +4.8926304997361619e+06 -5.5753528450247406e+13 -1.3735132836182245e+20 
+4.0000000000000002e-01 +1.6393967030208401e+00 +4.9078291207374251e+06 -5.7637474251584070e+13 -5.1918384681127461e+19 
+5.0000000000000000e-01 +1.6393733440679670e+00 +4.9237023187208213e+06 -5.9645265276081422e+13 +4.0602234580618478e+19 
+6.0000000000000009e-01 +1.6393502960298623e+00 +4.9392303691102080e+06 -6.1633474820822188e+13 +1.3306653839620479e+20 
+7.0000000000000007e-01 +1.6393289561202229e+00 +4.9533935473940168e+06 -6.3458676189614062e+13 +2.1833053592812621e+20 
+8.0000000000000004e-01 +1.6393107215527016e+00 +4.9651721291025328e+06 -6.4977442691848594e+13 +2.8925023652101095e+20 
+9.0000000000000002e-01 +1.6392969895412397e+00 +4.9735463895815797e+06 -6.6046347615245852e+13 +3.3868164885889247e+20 
+1.0000000000000000e+00 +1.6392891572994561e+00 +4.9774966043740613e+06 -6.6521964270202219e+13 +3.5948078230801206e+20 
+1.1000000000000001e+00 +1.6392881438775289e+00 +4.9763483194420170e+06 -6.6308362763705742e+13 +3.4684918152757890e+20 
+1.2000000000000002e+00 +1.6392929556717095e+00 +4.9708081624990152e+06 -6.5499600396194578e+13 +3.0537053252965676e+20 
+1.3000000000000000e+00 +1.6393021209144287e+00 +4.9619280319099724e+06 -6.4237231291482086e+13 +2.4197405742594684e+20 
+1.4000000000000001e+00 +1.6393141678383143e+00 +4.9507598259137869e+06 -6.2662809558517047e+13 +1.6358897787464008e+20 
+1.5000000000000000e+00 +1.6393276246759143e+00 +4.9383554428055119e+06 -6.0917889313177164e+13 +7.7144515750486360e+19 
+1.6000000000000001e+00 +1.6393410196597928e+00 +4.9257667808668856e+06 -5.9144024669518711e+13 -1.0430107131767206e+19 
+1.7000000000000002e+00 +1.6393528810224813e+00 +4.9140457383941785e+06 -5.7482769743083359e+13 -9.2205668915828212e+19 
+1.8000000000000000e+00 +1.6393617369965787e+00 +4.9042442136519691e+06 -5.6075678646219266e+13 -1.6125294783349781e+20 
+1.9000000000000001e+00 +1.6393661158146116e+00 +4.8974141049389392e+06 -5.5064305494664734e+13 -2.1064272202428151e+20 
+2.0000000000000000e+00 +1.6393645457091832e+00 +4.8946073105187453e+06 -5.4590204400712211e+13 -2.3344576972091602e+20 
+2.1000000000000001e+00 +1.6393559946158920e+00 +4.8965672902984638e+06 -5.4753782368638305e+13 -2.2479605155744367e+20 
+2.2000000000000002e+00 +1.6393411892824348e+00 +4.9028037507255394e+06 -5.5490857968068688e+13 -1.8808025783288644e+20 
+2.3000000000000003e+00 +1.6393212961596593e+00 +4.9125179598064329e+06 -5.6696102651544258e+13 -1.2874826150837197e+20 
+2.4000000000000004e+00 +1.6392974816982879e+00 +4.9249111856317697e+06 -5.8264187881507805e+13 -5.2249935244062056e+19 
+2.5000000000000000e+00 +1.6392709123491234e+00 +4.9391846962227067e+06 -6.0089785111429945e+13 +3.5964848012980789e+19 
+2.6000000000000001e+00 +1.6392427545629125e+00 +4.9545397596576586e+06 -6.2067565802593867e+13 +1.3044621557241892e+20 
+2.7000000000000002e+00 +1.6392141747904099e+00 +4.9701776439947719e+06 -6.4092201413115281e+13 +2.2574429463397017e+20 
+2.8000000000000003e+00 +1.6391863394824817e+00 +4.9852996172320135e+06 -6.6058363394552000e+13 +3.1640921220568082e+20 
+2.9000000000000004e+00 +1.6391604150898287e+00 +4.9991069474634761e+06 -6.7860723209346352e+13 +3.9699109562112560e+20 
+3.0000000000000000e+00 +1.6391375680632880e+00 +5.0108009027039111e+06 -6.9393952310950180e+13 +4.6204007194481767e+20 
+3.1000000000000001e+00 +1.6391187077304876e+00 +5.0197214880315540e+06 -7.0567095973032234e+13 +5.0701894742194566e+20 
+3.2000000000000002e+00 +1.6391037149270071e+00 +5.0257636563188760e+06 -7.1346694698027703e+13 +5.3104124346256182e+20 
+3.3000000000000003e+00 +1.6390922133652994e+00 +5.0289610974503914e+06 -7.1713662802679297e+13 +5.3413316047952583e+20 
+3.4000000000000004e+00 +1.6390838267578158e+00 +5.0293475013091788e+06 -7.1648914603251531e+13 +5.1632089886507552e+20 
+3.5000000000000000e+00 +1.6390781788169906e+00 +5.0269565578025598e+06 -7.1133364419671516e+13 +4.7763065913755933e+20 
+3.6000000000000001e+00 +1.6390748932552541e+00 +5.0218219568216149e+06 -7.0147926568978578e+13 +4.1808864171058227e+20 
+3.7000000000000002e+00 +1.6390735937850558e+00 +5.0139773882575324e+06 -6.8673515368856875e+13 +3.3772104702795710e+20 
+3.8000000000000003e+00 +1.6390739041189344e+00 +5.0034565419449983e+06 -6.6691045130296484e+13 +2.3655407532844954e+20 
+3.9000000000000004e+00 +1.6390754479692748e+00 +4.9902931078126021e+06 -6.4181430175213008e+13 +1.1461392718233181e+20 
+4.0000000000000000e+00 +1.6390778490484912e+00 +4.9745207757684905e+06 -6.1125584822965445e+13 -2.8073196920923189e+19 
+4.1000000000000005e+00 +1.6390804450301306e+00 +4.9565749325485919e+06 -5.7583171332458312e+13 -1.8823941250100232e+20 
+4.2000000000000002e+00 +1.6390814294318337e+00 +4.9384977524761977e+06 -5.3928843752914391e+13 -3.4965009813988993e+20 
+4.2999999999999998e+00 +1.6390787097322377e+00 +4.9227331067778990e+06 -5.0616004081429008e+13 -4.9282894818431821e+20 
+4.4000000000000004e+00 +1.6390701934100944e+00 +4.9117248666173648e+06 -4.8098054308135852e+13 -5.9829965718601086e+20 
+4.5000000000000000e+00 +1.6390537879439924e+00 +4.9079169032492479e+06 -4.6828396433250859e+13 -6.4658591939954698e+20 
+4.6000000000000005e+00 +1.6390274008126609e+00 +4.9137530878489967e+06 -4.7260432448182258e+13 -6.1821142933938622e+20 
+4.7000000000000002e+00 +1.6389889394947696e+00 +4.9316772916296292e+06 -4.9847564348796000e+13 -4.9369988138353885e+20 
+4.8000000000000007e+00 +1.6389363114690536e+00 +4.9641333857605988e+06 -5.5043194125659641e+13 -2.5357497007457098e+20 
+4.9000000000000004e+00 +1.6388674242140482e+00 +5.0135652415305693e+06 -6.3300723782981344e+13 +1.2163961045439486e+20 
+5.0000000000000000e+00 +1.6387801852085957e+00 +5.0824167300445735e+06 -7.5073555304009453e+13 +6.5142016544215610e+20 
