# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+0.0000000000000000e+00 +3.9014950095948384e-03 +1.6292451976586538e+01 +3.1259390872058759e+11 
+1.0000000000000001e-01 +3.9015025291542589e-03 +1.6291860903459895e+01 +3.1315352151703485e+11 
+2.0000000000000001e-01 +3.9015169895206285e-03 +1.6290566880704276e+01 +3.1457856331138898e+11 
+3.0000000000000004e-01 +3.9015351213473326e-03 +1.6288777162487133e+01 +3.1664939970202258e+11 
+4.0000000000000002e-01 +3.9015536552877866e-03 +1.6286699002974927e+01 +3.1914639628767706e+11 
+5.0000000000000000e-01 +3.9015693219954170e-03 +1.6284539656333980e+01 +3.2184991866710388e+11 
+6.0000000000000009e-01 +3.9015788521236119e-03 +1.6282506376731604e+01 +3.2454033243875897e+11 
+7.0000000000000007e-01 +3.9015789763257808e-03 +1.6280806418334386e+01 +3.2699800320131604e+11 
+8.0000000000000004e-01 +3.9015664252553409e-03 +1.6279647035308841e+01 +3.2900329655347217e+11 
+9.0000000000000002e-01 +3.9015379295656923e-03 +1.6279235481822106e+01 +3.3033657809370923e+11 
+1.0000000000000000e+00 +3.9014902199102424e-03 +1.6279779012040624e+01 +3.3077821342079944e+11 
+1.1000000000000001e+00 +3.9014211235907114e-03 +1.6281414979928147e+01 +3.3018165944947998e+11 
+1.2000000000000002e+00 +3.9013328545021205e-03 +1.6284001138633823e+01 +3.2869273835993951e+11 
+1.3000000000000000e+00 +3.9012287231877424e-03 +1.6287325341105003e+01 +3.2653036364815771e+11 
+1.4000000000000001e+00 +3.9011120401908975e-03 +1.6291175440288036e+01 +3.2391344881040729e+11 
+1.5000000000000000e+00 +3.9009861160549000e-03 +1.6295339289129355e+01 +3.2106090734292743e+11 
+1.6000000000000001e+00 +3.9008542613230522e-03 +1.6299604740575699e+01 +3.1819165274188184e+11 
+1.7000000000000002e+00 +3.9007197865386805e-03 +1.6303759647573141e+01 +3.1552459850363428e+11 
+1.8000000000000000e+00 +3.9005860022450697e-03 +1.6307591863068865e+01 +3.1327865812419269e+11 
+1.9000000000000001e+00 +3.9004562189855476e-03 +1.6310889240008905e+01 +3.1167274509994678e+11 
+2.0000000000000000e+00 +3.9003337473033999e-03 +1.6313439631340508e+01 +3.1092577292687610e+11 
+2.1000000000000001e+00 +3.9002208394160443e-03 +1.6315098444011348e+01 +3.1118742954854242e+11 
+2.2000000000000002e+00 +3.9001155142371386e-03 +1.6315991300978592e+01 +3.1233050069634802e+11 
+2.3000000000000003e+00 +3.9000147323544499e-03 +1.6316311379200801e+01 +3.1415854654889062e+11 
+2.4000000000000004e+00 +3.8999154543557391e-03 +1.6316251855636573e+01 +3.1647512728481989e+11 
+2.5000000000000000e+00 +3.8998146408287721e-03 +1.6316005907244282e+01 +3.1908380308280902e+11 
+2.6000000000000001e+00 +3.8997092523612937e-03 +1.6315766710982928e+01 +3.2178813412138300e+11 
