# multipoles
# s[mm] polynom_a[n=1][T/m^n] polynom_a[n=5][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=13][T/m^n] 
+0.0000000000000000e+00 +1.6407717209992381e+00 +4.8668459210741790e+06 -5.2361110772563742e+13 -2.7944906375156384e+20 
+1.0000000000000001e-01 +1.6407610781559407e+00 +4.8739105099155884e+06 -5.3013698928871586e+13 -2.5812167440407839e+20 
+2.0000000000000001e-01 +1.6407451507586914e+00 +4.8847128641050337e+06 -5.4220939143486602e+13 -2.0824965608977066e+20 
+3.0000000000000004e-01 +1.6407253375671371e+00 +4.8982321811953047e+06 -5.5839268001652328e+13 -1.3698324633648520e+20 
+4.0000000000000002e-01 +1.6407030373407574e+00 +4.9134476588613549e+06 -5.7725122103461750e+13 -5.1472682212324458e+19 
+5.0000000000000000e-01 +1.6406796488392028e+00 +4.9293384946542121e+06 -5.9734938033881812e+13 +4.1131798744504476e+19 
+6.0000000000000009e-01 +1.6406565708220400e+00 +4.9448838861897439e+06 -6.1725152386019984e+13 +1.3367995925322503e+20 
+7.0000000000000007e-01 +1.6406352020488923e+00 +4.9590630310482895e+06 -6.3552201748762656e+13 +2.1902156190243062e+20 
+8.0000000000000004e-01 +1.6406169412793721e+00 +4.9708551268073665e+06 -6.5072522710269117e+13 +2.9000636925286983e+20 
+9.0000000000000002e-01 +1.6406031872730418e+00 +4.9792393710837485e+06 -6.6142551863726836e+13 +3.3948414402582741e+20 
+1.0000000000000000e+00 +1.6405953387894689e+00 +4.9831949614866627e+06 -6.6618725801009789e+13 +3.6030464889374081e+20 
+1.1000000000000001e+00 +1.6405943158782343e+00 +4.9820467419326538e+06 -6.6405024080439414e+13 +3.4766524779566373e+20 
+1.2000000000000002e+00 +1.6405991237489690e+00 +4.9765021415488403e+06 -6.5595598121580688e+13 +3.0615370954921850e+20 
+1.3000000000000000e+00 +1.6406082889012541e+00 +4.9676142358031664e+06 -6.4332142314043555e+13 +2.4270540434163496e+20 
+1.4000000000000001e+00 +1.6406203378345166e+00 +4.9564361002597297e+06 -6.2756351058401047e+13 +1.6425570268778047e+20 
+1.5000000000000000e+00 +1.6406337970483669e+00 +4.9440208103693882e+06 -6.1009918742184180e+13 +7.7739974709704704e+19 
+1.6000000000000001e+00 +1.6406471930423687e+00 +4.9314214416132895e+06 -5.9234539756588602e+13 -9.9064093561501716e+18 
+1.7000000000000002e+00 +1.6406590523159943e+00 +4.9196910695277471e+06 -5.7571908499073891e+13 -9.1748079087212544e+19 
+1.8000000000000000e+00 +1.6406679013688790e+00 +4.9098827695446517e+06 -5.6163719354733648e+13 -1.6084966443936986e+20 
+1.9000000000000001e+00 +1.6406722667005076e+00 +4.9030496171976319e+06 -5.5151666721011242e+13 -2.1027579498503966e+20 
+2.0000000000000000e+00 +1.6406706748105095e+00 +4.9002446879213685e+06 -5.4677444983355453e+13 -2.3309110066823250e+20 
+2.1000000000000001e+00 +1.6406620924253335e+00 +4.9022122657278543e+06 -5.4841559981176234e+13 -2.2442523188536705e+20 
+2.2000000000000002e+00 +1.6406472471792339e+00 +4.9084614685794963e+06 -5.5579763326705289e+13 -1.8766792216455614e+20 
+2.3000000000000003e+00 +1.6406273069336816e+00 +4.9181926227704352e+06 -5.6786618057607227e+13 -1.2827392635025773e+20 
+2.4000000000000004e+00 +1.6406034395497473e+00 +4.9306060548374755e+06 -5.8356687239419219e+13 -5.1697998448284656e+19 
+2.5000000000000000e+00 +1.6405768128887379e+00 +4.9449020911661005e+06 -6.0184533920071688e+13 +3.6605107002873897e+19 
+2.6000000000000001e+00 +1.6405485948119558e+00 +4.9602810581561895e+06 -6.2164721149483148e+13 +1.3118063552930639e+20 
+2.7000000000000002e+00 +1.6405199531807462e+00 +4.9759432821729472e+06 -6.4191811973305703e+13 +2.2657383252406102e+20 
+2.8000000000000003e+00 +1.6404920558562386e+00 +4.9910890897182012e+06 -6.6160369453173516e+13 +3.1732994386644094e+20 
+2.9000000000000004e+00 +1.6404660706997125e+00 +5.0049188071962604e+06 -6.7964956639110117e+13 +3.9799421507882412e+20 
+3.0000000000000000e+00 +1.6404431655725560e+00 +5.0166327609537924e+06 -6.9500136574976688e+13 +4.6311189150632300e+20 
+3.1000000000000001e+00 +1.6404242508576725e+00 +5.0255702132824138e+06 -7.0674864443516047e+13 +5.0814177017978356e+20 
+3.2000000000000002e+00 +1.6404092070252210e+00 +5.0316261695471881e+06 -7.1455663902542172e+13 +5.3219685246173852e+20 
+3.3000000000000003e+00 +1.6403976570669836e+00 +5.0348345709941378e+06 -7.1823450741483109e+13 +5.3530369118340317e+20 
+3.4000000000000004e+00 +1.6403892239747930e+00 +5.0352293588448316e+06 -7.1759140747293125e+13 +5.1748883910783179e+20 
+3.5000000000000000e+00 +1.6403835307405172e+00 +5.0328444742971975e+06 -7.1243649704003141e+13 +4.7877884890529917e+20 
+3.6000000000000001e+00 +1.6403802003558867e+00 +5.0277138586274097e+06 -7.0257893404513367e+13 +4.1920027351208126e+20 
+3.7000000000000002e+00 +1.6403788558128534e+00 +5.0198714529896099e+06 -6.8782787628265391e+13 +3.3877966546899639e+20 
+3.8000000000000003e+00 +1.6403791201031364e+00 +5.0093511986663174e+06 -6.6799248168724258e+13 +2.3754357772533118e+20 
+3.9000000000000004e+00 +1.6403806162186532e+00 +4.9961870368233798e+06 -6.4288190806200453e+13 +1.1551856283976691e+20 
+4.0000000000000000e+00 +1.6403829671511538e+00 +4.9804129087359486e+06 -6.1230531333971414e+13 -2.7268826231979786e+19 
+4.1000000000000005e+00 +1.6403855097050413e+00 +4.9624647343674479e+06 -5.7685994379819445e+13 -1.8754776566801449e+20 
+4.2000000000000002e+00 +1.6403864359348239e+00 +4.9443863488094667e+06 -5.4029539956262523e+13 -3.4907034671297731e+20 
+4.2999999999999998e+00 +1.6403836517075008e+00 +4.9286235659462437e+06 -5.0714936922671867e+13 -4.9234438936733149e+20 
+4.4000000000000004e+00 +1.6403750628900347e+00 +4.9176221996861650e+06 -4.8195954141255438e+13 -5.9787771354522255e+20 
+4.5000000000000000e+00 +1.6403585753494707e+00 +4.9138280638866397e+06 -4.6926360468366273e+13 -6.4617813933700717e+20 
+4.6000000000000005e+00 +1.6403320949529119e+00 +4.9196869723735787e+06 -4.7359924756779656e+13 -6.1775348694056816e+20 
+4.7000000000000002e+00 +1.6402935275672899e+00 +4.9376447390726302e+06 -4.9950415870766969e+13 -4.9311157620560049e+20 
+4.8000000000000007e+00 +1.6402407790596505e+00 +4.9701471778406734e+06 -5.5151602666479203e+13 -2.5276022723183198e+20 
+4.9000000000000004e+00 +1.6401717552969941e+00 +5.0196401025631074e+06 -6.3417254003556914e+13 +1.2279273999106467e+20 
+5.0000000000000000e+00 +1.6400843621463408e+00 +5.0885693271176619e+06 -7.5201138740906078e+13 +6.5303950545331028e+20 
+5.1000000000000005e+00 +1.6399777687837940e+00 +5.1779633295423798e+06 -9.0696163529006312e+13 +1.3459729149507420e+21 
+5.2000000000000002e+00 +1.6398561976217680e+00 +5.2831812445860542e+06 -1.0905178619563253e+14 +2.1635884778862244e+21 
+5.3000000000000007e+00 +1.6397251343817261e+00 +5.3981648711800603e+06 -1.2915660236269631e+14 +3.0563823695447888e+21 
+5.4000000000000004e+00 +1.6395900647851698e+00 +5.5168560082339486e+06 -1.4989920764978519e+14 +3.9748507651455645e+21 
+5.5000000000000000e+00 +1.6394564745536093e+00 +5.6331964546543695e+06 -1.7016819767612900e+14 +4.8694898398956051e+21 
+5.6000000000000005e+00 +1.6393298494084723e+00 +5.7411280093981670e+06 -1.8885216806689400e+14 +5.6907957691848872e+21 
