# multipoles
# s[mm] polynom_a[n=1][T/m^n] polynom_a[n=5][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=13][T/m^n] 
+0.0000000000000000e+00 +1.4658109790463865e+00 +3.7296382274183217e+06 -3.1011159874043047e+13 -3.4379969295760569e+20 
+1.0000000000000001e-01 +1.4658128210817281e+00 +3.7273629104267694e+06 -3.0563247866457543e+13 -3.6531196201231208e+20 
+2.0000000000000001e-01 +1.4658178572911185e+00 +3.7211231995318411e+06 -2.9336148465294414e+13 -4.2411443477036538e+20 
+3.0000000000000004e-01 +1.4658253528294769e+00 +3.7117984549268070e+06 -2.7504816611227203e+13 -5.1160560937634431e+20 
+4.0000000000000002e-01 +1.4658345728518307e+00 +3.7002680367479231e+06 -2.5244207238787629e+13 -6.1918398415223561e+20 
+5.0000000000000000e-01 +1.4658447825131113e+00 +3.6874113051842200e+06 -2.2729275288343699e+13 -7.3824805724862756e+20 
+6.0000000000000009e-01 +1.4658552469682902e+00 +3.6741076204005475e+06 -2.0134975697405824e+13 -8.6019632690356014e+20 
+7.0000000000000007e-01 +1.4658652313723370e+00 +3.6612363425640557e+06 -1.7636263403873078e+13 -9.7642729134111903e+20 
+8.0000000000000004e-01 +1.4658740008802684e+00 +3.6496768318145629e+06 -1.5408093342555340e+13 -1.0783394488773682e+21 
+9.0000000000000002e-01 +1.4658808206470206e+00 +3.6403084483376201e+06 -1.3625420453338990e+13 -1.1573312976787534e+21 
+1.0000000000000000e+00 +1.4658849558275258e+00 +3.6340105523240953e+06 -1.2463199676923697e+13 -1.2048013358836925e+21 
+1.1000000000000001e+00 +1.4658858558150154e+00 +3.6314322124724183e+06 -1.2048986423020314e+13 -1.2145760660274969e+21 
+1.2000000000000002e+00 +1.4658837069553055e+00 +3.6323013318855162e+06 -1.2320738020877598e+13 -1.1901940069150556e+21 
+1.3000000000000000e+00 +1.4658788798324305e+00 +3.6361155222325302e+06 -1.3169012276067756e+13 -1.1376216815182085e+21 
+1.4000000000000001e+00 +1.4658717450304442e+00 +3.6423723951572119e+06 -1.4484366990548143e+13 -1.0628256129293719e+21 
+1.5000000000000000e+00 +1.4658626731333928e+00 +3.6505695623207656e+06 -1.6157359968890688e+13 -9.7177232415210760e+20 
+1.6000000000000001e+00 +1.4658520347252659e+00 +3.6602046354134348e+06 -1.8078549018813168e+13 -8.7042833809808582e+20 
+1.7000000000000002e+00 +1.4658402003900908e+00 +3.6707752261021351e+06 -2.0138491945286215e+13 -7.6476017776316986e+20 
+1.8000000000000000e+00 +1.4658275407119645e+00 +3.6817789460120308e+06 -2.2227746548507227e+13 -6.6073436628650662e+20 
+1.9000000000000001e+00 +1.4658144262749022e+00 +3.6927134068185170e+06 -2.4236870634484340e+13 -5.6431742663148418e+20 
+2.0000000000000000e+00 +1.4658012276629071e+00 +3.7030762202036916e+06 -2.6056422009947281e+13 -4.8147588174086046e+20 
+2.1000000000000001e+00 +1.4657882642419793e+00 +3.7124591129922601e+06 -2.7599820067436367e+13 -4.1680749199959510e+20 
+2.2000000000000002e+00 +1.4657756505057631e+00 +3.7208302727918825e+06 -2.8871930567205668e+13 -3.6943496682578418e+20 
+2.3000000000000003e+00 +1.4657634497298677e+00 +3.7282520023735384e+06 -2.9900480857742789e+13 -3.3711225300658500e+20 
+2.4000000000000004e+00 +1.4657517251898247e+00 +3.7347866045546406e+06 -3.0713198292815977e+13 -3.1759329717063228e+20 
+2.5000000000000000e+00 +1.4657405401612820e+00 +3.7404963820790271e+06 -3.1337810217634363e+13 -3.0863204620653645e+20 
+2.6000000000000001e+00 +1.4657299579198251e+00 +3.7454436377329226e+06 -3.1802043982414953e+13 -3.0798244684951519e+20 
+2.7000000000000002e+00 +1.4657200417410012e+00 +3.7496906743234009e+06 -3.2133626939776562e+13 -3.1339844576255738e+20 
+2.8000000000000003e+00 +1.4657108549004692e+00 +3.7532997945910990e+06 -3.2360286434655398e+13 -3.2263398984029910e+20 
+2.9000000000000004e+00 +1.4657024606737215e+00 +3.7563333013755414e+06 -3.2509749823335906e+13 -3.3344302563668872e+20 
+3.0000000000000000e+00 +1.4656949223364057e+00 +3.7588534974257872e+06 -3.2609744451821992e+13 -3.4357950001270568e+20 
+3.1000000000000001e+00 +1.4656882595106528e+00 +3.7609267372169355e+06 -3.2684415858105539e+13 -3.5121237440880063e+20 
+3.2000000000000002e+00 +1.4656823172049511e+00 +3.7626355819062833e+06 -3.2743582324215098e+13 -3.5617066927553846e+20 
+3.3000000000000003e+00 +1.4656768967741971e+00 +3.7640666444247067e+06 -3.2793480329774453e+13 -3.5869841947124734e+20 
+3.4000000000000004e+00 +1.4656717995734305e+00 +3.7653065376172424e+06 -3.2840346344497602e+13 -3.5903966015354877e+20 
+3.5000000000000000e+00 +1.4656668269576580e+00 +3.7664418743482423e+06 -3.2890416840362305e+13 -3.5743842641117315e+20 
+3.6000000000000001e+00 +1.4656617802818392e+00 +3.7675592675123825e+06 -3.2949928292849496e+13 -3.5413875322695805e+20 
+3.7000000000000002e+00 +1.4656564609009528e+00 +3.7687453299903506e+06 -3.3025117175778547e+13 -3.4938467563476890e+20 
+3.8000000000000003e+00 +1.4656506701699941e+00 +3.7700866746530784e+06 -3.3122219961824441e+13 -3.4342022870330881e+20 
+3.9000000000000004e+00 +1.4656442094440343e+00 +3.7716699143303945e+06 -3.3247473119162098e+13 -3.3648944763300505e+20 
+4.0000000000000000e+00 +1.4656368800779618e+00 +3.7735816619537002e+06 -3.3407113127237660e+13 -3.2883636729170821e+20 
+4.1000000000000005e+00 +1.4656285329564380e+00 +3.7758843173885560e+06 -3.3605033406241477e+13 -3.2069896270261590e+20 
+4.2000000000000002e+00 +1.4656192170828701e+00 +3.7785434284031517e+06 -3.3835755156184023e+13 -3.1229096904259705e+20 
+4.2999999999999998e+00 +1.4656090309902874e+00 +3.7815003297827141e+06 -3.4091456527060293e+13 -3.0382006137012040e+20 
+4.4000000000000004e+00 +1.4655980732117069e+00 +3.7846963563163984e+06 -3.4364315668983332e+13 -2.9549391474647722e+20 
+4.5000000000000000e+00 +1.4655864422801514e+00 +3.7880728427983718e+06 -3.4646510733235004e+13 -2.8752020418686249e+20 
+4.6000000000000005e+00 +1.4655742367286322e+00 +3.7915711240193793e+06 -3.4930219870036234e+13 -2.8010660475041097e+20 
+4.7000000000000002e+00 +1.4655615550902543e+00 +3.7951325347233522e+06 -3.5207621224857891e+13 -2.7346079162806878e+20 
