# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] 
+0.0000000000000000e+00 -3.9095882282701062e-03 +1.5880097166614988e+01 +6.6020862645334412e+11 
+1.0000000000000001e-01 -3.9095774198154229e-03 +1.5879925191406386e+01 +6.6041817233825989e+11 
+2.0000000000000001e-01 -3.9095600893290757e-03 +1.5879851319528676e+01 +6.6093151263420874e+11 
+3.0000000000000004e-01 -3.9095365791242441e-03 +1.5879848781137964e+01 +6.6167424431774463e+11 
+4.0000000000000002e-01 -3.9095072315141104e-03 +1.5879890806390334e+01 +6.6257196436542944e+11 
+5.0000000000000000e-01 -3.9094723888118505e-03 +1.5879950625441907e+01 +6.6355026975377795e+11 
+6.0000000000000009e-01 -3.9094323933306320e-03 +1.5880001468448414e+01 +6.6453475745947156e+11 
+7.0000000000000007e-01 -3.9093875873836359e-03 +1.5880016565566105e+01 +6.6545102445899414e+11 
+8.0000000000000004e-01 -3.9093383132840455e-03 +1.5879969146951105e+01 +6.6622466772888660e+11 
+9.0000000000000002e-01 -3.9092849133450253e-03 +1.5879832442759149e+01 +6.6678128424581458e+11 
+1.0000000000000000e+00 -3.9092277298797525e-03 +1.5879579683146478e+01 +6.6704647098626208e+11 
+1.1000000000000001e+00 -3.9091669747576665e-03 +1.5879193542143167e+01 +6.6696998495630615e+11 
+1.2000000000000002e+00 -3.9091023380731886e-03 +1.5878694469274985e+01 +6.6659822328011426e+11 
+1.3000000000000000e+00 -3.9090333794770038e-03 +1.5878112357941887e+01 +6.6600174311131750e+11 
+1.4000000000000001e+00 -3.9089596586197898e-03 +1.5877477101543645e+01 +6.6525110160360889e+11 
+1.5000000000000000e+00 -3.9088807351522394e-03 +1.5876818593480428e+01 +6.6441685591053394e+11 
+1.6000000000000001e+00 -3.9087961687250278e-03 +1.5876166727151908e+01 +6.6356956318582214e+11 
+1.7000000000000002e+00 -3.9087055189888390e-03 +1.5875551395958007e+01 +6.6277978058311230e+11 
+1.8000000000000000e+00 -3.9086083455943535e-03 +1.5875002493298625e+01 +6.6211806525604321e+11 
+1.9000000000000001e+00 -3.9085042081922570e-03 +1.5874549912573650e+01 +6.6165497435827161e+11 
+2.0000000000000000e+00 -3.9083926664332386e-03 +1.5874223547183202e+01 +6.6146106504336365e+11 
+2.1000000000000001e+00 -3.9082733666366571e-03 +1.5874044396884662e+01 +6.6158209500218701e+11 
+2.2000000000000002e+00 -3.9081463017966566e-03 +1.5873997886866990e+01 +6.6196462407393311e+11 
+2.3000000000000003e+00 -3.9080115515760577e-03 +1.5874060548676942e+01 +6.6253041263488733e+11 
+2.4000000000000004e+00 -3.9078691956377001e-03 +1.5874208913861368e+01 +6.6320122106135059e+11 
+2.5000000000000000e+00 -3.9077193136443887e-03 +1.5874419513966595e+01 +6.6389880972974048e+11 
+2.6000000000000001e+00 -3.9075619852589633e-03 +1.5874668880539470e+01 +6.6454493901635547e+11 
+2.7000000000000002e+00 -3.9073972901442489e-03 +1.5874933545126831e+01 +6.6506136929744971e+11 
+2.8000000000000003e+00 -3.9072253079630772e-03 +1.5875190039275489e+01 +6.6536986094931641e+11 
+2.9000000000000004e+00 -3.9070461183782603e-03 +1.5875414894531668e+01 +6.6539217434844080e+11 
+3.0000000000000000e+00 -3.9068598010526326e-03 +1.5875584642442407e+01 +6.6505006987102502e+11 
+3.1000000000000001e+00 -3.9066663853308883e-03 +1.5875677274797519e+01 +6.6429557477790283e+11 
+3.2000000000000002e+00 -3.9064656992851918e-03 +1.5875676624359752e+01 +6.6320178386777136e+11 
+3.3000000000000003e+00 -3.9062575206695802e-03 +1.5875567984134994e+01 +6.6187205882384265e+11 
+3.4000000000000004e+00 -3.9060416272380929e-03 +1.5875336647129293e+01 +6.6040976132926587e+11 
+3.5000000000000000e+00 -3.9058177967447663e-03 +1.5874967906348612e+01 +6.5891825306722192e+11 
+3.6000000000000001e+00 -3.9055858069436313e-03 +1.5874447054798724e+01 +6.5750089572094849e+11 
+3.7000000000000002e+00 -3.9053454355887276e-03 +1.5873759385485725e+01 +6.5626105097358716e+11 
+3.8000000000000003e+00 -3.9050964604340874e-03 +1.5872890191415394e+01 +6.5530208050837585e+11 
+3.9000000000000004e+00 -3.9048386592337556e-03 +1.5871824765593958e+01 +6.5472734600840942e+11 
+4.0000000000000000e+00 -3.9045718097417618e-03 +1.5870548401027179e+01 +6.5464020915692822e+11 
+4.1000000000000005e+00 -3.9042958400259337e-03 +1.5869062754879561e+01 +6.5510361118797144e+11 
+4.2000000000000002e+00 -3.9040112794092733e-03 +1.5867434940950014e+01 +6.5601881153894739e+11 
+4.2999999999999998e+00 -3.9037188075285623e-03 +1.5865748437195871e+01 +6.5724664919814343e+11 
+4.4000000000000004e+00 -3.9034191040205942e-03 +1.5864086721574559e+01 +6.5864796315382898e+11 
+4.5000000000000000e+00 -3.9031128485221556e-03 +1.5862533272043404e+01 +6.6008359239431226e+11 
+4.6000000000000005e+00 -3.9028007206700376e-03 +1.5861171566559891e+01 +6.6141437590783936e+11 
+4.7000000000000002e+00 -3.9024834001010252e-03 +1.5860085083081383e+01 +6.6250115268268469e+11 
+4.8000000000000007e+00 -3.9021615664519152e-03 +1.5859357299565326e+01 +6.6320476170713855e+11 
+4.9000000000000004e+00 -3.9018358993594877e-03 +1.5859071693969037e+01 +6.6338604196947791e+11 
+5.0000000000000000e+00 -3.9015070784605300e-03 +1.5859311744249824e+01 +6.6290583245801355e+11 
