# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] 
+0.0000000000000000e+00 -3.9097279149687830e-03 +1.5850636055783275e+01 +6.6679046153502014e+11 
+1.0000000000000001e-01 -3.9097192094924094e-03 +1.5850466945467302e+01 +6.6700733129742163e+11 
+2.0000000000000001e-01 -3.9097035226618301e-03 +1.5850387964382463e+01 +6.6753040110878113e+11 
+3.0000000000000004e-01 -3.9096811843530683e-03 +1.5850372515515387e+01 +6.6828484066132629e+11 
+4.0000000000000002e-01 -3.9096525244421551e-03 +1.5850394001852752e+01 +6.6919581964728784e+11 
+5.0000000000000000e-01 -3.9096178728050962e-03 +1.5850425826380832e+01 +6.7018850775900525e+11 
+6.0000000000000009e-01 -3.9095775593179219e-03 +1.5850441392086196e+01 +6.7118807468874548e+11 
+7.0000000000000007e-01 -3.9095319138566526e-03 +1.5850414101955483e+01 +6.7211969012873401e+11 
+8.0000000000000004e-01 -3.9094812662973117e-03 +1.5850317358975216e+01 +6.7290852377124268e+11 
+9.0000000000000002e-01 -3.9094259465159180e-03 +1.5850124566131878e+01 +6.7347974530856714e+11 
+1.0000000000000000e+00 -3.9093662843884928e-03 +1.5849809126412023e+01 +6.7375852443294836e+11 
+1.1000000000000001e+00 -3.9093025157465183e-03 +1.5849354670114151e+01 +6.7369412885528137e+11 
+1.2000000000000002e+00 -3.9092345002432758e-03 +1.5848785736783823e+01 +6.7333221836115649e+11 
+1.3000000000000000e+00 -3.9091620034875235e-03 +1.5848137093278918e+01 +6.7274255075468066e+11 
+1.4000000000000001e+00 -3.9090847910879982e-03 +1.5847443506456804e+01 +6.7199488384011658e+11 
+1.5000000000000000e+00 -3.9090026286534548e-03 +1.5846739743175341e+01 +6.7115897542156067e+11 
+1.6000000000000001e+00 -3.9089152817926402e-03 +1.5846060570292165e+01 +6.7030458330319788e+11 
+1.7000000000000002e+00 -3.9088225161142982e-03 +1.5845440754664818e+01 +6.6950146528923633e+11 
+1.8000000000000000e+00 -3.9087240972271774e-03 +1.5844915063150973e+01 +6.6881937918383997e+11 
+1.9000000000000001e+00 -3.9086197907400293e-03 +1.5844518262608458e+01 +6.6832808279111584e+11 
+2.0000000000000000e+00 -3.9085093622615941e-03 +1.5844285119894636e+01 +6.6809733391534473e+11 
+2.1000000000000001e+00 -3.9083925703724933e-03 +1.5844236036811514e+01 +6.6817376172119104e+11 
+2.2000000000000002e+00 -3.9082691455408179e-03 +1.5844333954937705e+01 +6.6851148081558850e+11 
+2.3000000000000003e+00 -3.9081388112065258e-03 +1.5844527450795896e+01 +6.6904147716606689e+11 
+2.4000000000000004e+00 -3.9080012908095773e-03 +1.5844765100908804e+01 +6.6969473674015381e+11 
+2.5000000000000000e+00 -3.9078563077899432e-03 +1.5844995481799602e+01 +6.7040224550520007e+11 
+2.6000000000000001e+00 -3.9077035855875743e-03 +1.5845167169990669e+01 +6.7109498942885522e+11 
+2.7000000000000002e+00 -3.9075428476424345e-03 +1.5845228742004913e+01 +6.7170395447855823e+11 
+2.8000000000000003e+00 -3.9073738173944876e-03 +1.5845128774365262e+01 +6.7216012662176917e+11 
+2.9000000000000004e+00 -3.9071962182836871e-03 +1.5844815843594226e+01 +6.7239449182607239e+11 
+3.0000000000000000e+00 -3.9070097737500063e-03 +1.5844238526214964e+01 +6.7233803605883984e+11 
+3.1000000000000001e+00 -3.9068143069189666e-03 +1.5843362103095989e+01 +6.7194668747778784e+11 
+3.2000000000000002e+00 -3.9066100396583595e-03 +1.5842218672489823e+01 +6.7127614300113257e+11 
+3.3000000000000003e+00 -3.9063972935215584e-03 +1.5840857036995200e+01 +6.7040704173716248e+11 
+3.4000000000000004e+00 -3.9061763900619410e-03 +1.5839325999210885e+01 +6.6942002279415808e+11 
+3.5000000000000000e+00 -3.9059476508328562e-03 +1.5837674361735107e+01 +6.6839572528055579e+11 
+3.6000000000000001e+00 -3.9057113973876784e-03 +1.5835950927166635e+01 +6.6741478830463635e+11 
+3.7000000000000002e+00 -3.9054679512797743e-03 +1.5834204498104013e+01 +6.6655785097474255e+11 
+3.8000000000000003e+00 -3.9052176340625099e-03 +1.5832483877145847e+01 +6.6590555239920447e+11 
+3.9000000000000004e+00 -3.9049607672892520e-03 +1.5830837866890752e+01 +6.6553853168633374e+11 
+4.0000000000000000e+00 -3.9046976725133653e-03 +1.5829315269937196e+01 +6.6553742794450964e+11 
+4.1000000000000005e+00 -3.9044286311416625e-03 +1.5827957594081633e+01 +6.6595104235325305e+11 
+4.2000000000000002e+00 -3.9041537639947208e-03 +1.5826777167911654e+01 +6.6670082437691528e+11 
+4.2999999999999998e+00 -3.9038731517465580e-03 +1.5825779025212483e+01 +6.6767638555111670e+11 
+4.4000000000000004e+00 -3.9035868750711966e-03 +1.5824968199769534e+01 +6.6876733741141260e+11 
+4.5000000000000000e+00 -3.9032950146426649e-03 +1.5824349725368410e+01 +6.6986329149329321e+11 
+4.6000000000000005e+00 -3.9029976511349754e-03 +1.5823928635794106e+01 +6.7085385933246179e+11 
+4.7000000000000002e+00 -3.9026948652221534e-03 +1.5823709964832114e+01 +6.7162865246445300e+11 
+4.8000000000000007e+00 -3.9023867375782150e-03 +1.5823698746267736e+01 +6.7207728242485059e+11 
+4.9000000000000004e+00 -3.9020733488771900e-03 +1.5823900013886517e+01 +6.7208936074917090e+11 
+5.0000000000000000e+00 -3.9017547797930889e-03 +1.5824318801473510e+01 +6.7155449897309119e+11 
+5.1000000000000005e+00 -3.9014307966638343e-03 +1.5824941431124323e+01 +6.7040924194802771e+11 
+5.2000000000000002e+00 -3.9010999084829177e-03 +1.5825679378174989e+01 +6.6877786778886096e+11 
+5.3000000000000007e+00 -3.9007603099077259e-03 +1.5826425406271545e+01 +6.6683158792641809e+11 
+5.4000000000000004e+00 -3.9004101955956447e-03 +1.5827072279060067e+01 +6.6474161379148975e+11 
+5.5000000000000000e+00 -3.9000477602040584e-03 +1.5827512760186606e+01 +6.6267915681488745e+11 
+5.6000000000000005e+00 -3.8996711983903566e-03 +1.5827639613297237e+01 +6.6081542842741235e+11 
+5.7000000000000002e+00 -3.8992787048119249e-03 +1.5827345602038086e+01 +6.5932164005984229e+11 
+5.8000000000000007e+00 -3.8988684741261500e-03 +1.5826523490055173e+01 +6.5836900314299915e+11 
+5.9000000000000004e+00 -3.8984387009904187e-03 +1.5825066040994638e+01 +6.5812872910766321e+11 
+6.0000000000000000e+00 -3.8979875800621128e-03 +1.5822866018502443e+01 +6.5877202938465381e+11 
