# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] 
+0.0000000000000000e+00 -3.9499625939691191e-03 -1.5413661607941309e+01 +5.7797122103684766e+11 
+1.0000000000000001e-01 -3.9499600526870775e-03 -1.5413706094375312e+01 +5.7798868836289111e+11 
+2.0000000000000001e-01 -3.9499525746822355e-03 -1.5413834088138378e+01 +5.7803831006484314e+11 
+3.0000000000000004e-01 -3.9499403787164435e-03 -1.5414037390923900e+01 +5.7811591572905481e+11 
+4.0000000000000002e-01 -3.9499236835515948e-03 -1.5414307804424258e+01 +5.7821733494153247e+11 
+5.0000000000000000e-01 -3.9499027079495661e-03 -1.5414637130332181e+01 +5.7833839728841711e+11 
+6.0000000000000009e-01 -3.9498776706722505e-03 -1.5415017170340031e+01 +5.7847493235570422e+11 
+7.0000000000000007e-01 -3.9498487904815090e-03 -1.5415439726140979e+01 +5.7862276972967273e+11 
+8.0000000000000004e-01 -3.9498162861392270e-03 -1.5415896599427551e+01 +5.7877773899638306e+11 
+9.0000000000000002e-01 -3.9497803764072864e-03 -1.5416379591892424e+01 +5.7893566974193481e+11 
+1.0000000000000000e+00 -3.9497412800475681e-03 -1.5416880505228118e+01 +5.7909239155239111e+11 
+1.1000000000000001e+00 -3.9496991696325503e-03 -1.5417392549991288e+01 +5.7924445790503430e+11 
+1.2000000000000002e+00 -3.9496540329771596e-03 -1.5417914572191922e+01 +5.7939131784092981e+11 
+1.3000000000000000e+00 -3.9496058117068997e-03 -1.5418446826704470e+01 +5.7953314429247925e+11 
+1.4000000000000001e+00 -3.9495544474473007e-03 -1.5418989568402603e+01 +5.7967011019180371e+11 
+1.5000000000000000e+00 -3.9494998818238635e-03 -1.5419543052161053e+01 +5.7980238847143176e+11 
+1.6000000000000001e+00 -3.9494420564621310e-03 -1.5420107532853082e+01 +5.7993015206332385e+11 
+1.7000000000000002e+00 -3.9493809129876071e-03 -1.5420683265353047e+01 +5.8005357389985779e+11 
+1.8000000000000000e+00 -3.9493163930258215e-03 -1.5421270504534920e+01 +5.8017282691328979e+11 
+1.9000000000000001e+00 -3.9492484382022772e-03 -1.5421869505272932e+01 +5.8028808403591760e+11 
+2.0000000000000000e+00 -3.9491769901425049e-03 -1.5422480522440951e+01 +5.8039951819996338e+11 
+2.1000000000000001e+00 -3.9491019965675646e-03 -1.5423103796638570e+01 +5.8050724369330090e+11 
+2.2000000000000002e+00 -3.9490234295807463e-03 -1.5423739511365815e+01 +5.8061114022578064e+11 
+2.3000000000000003e+00 -3.9489412673808693e-03 -1.5424387835848618e+01 +5.8071102886296155e+11 
+2.4000000000000004e+00 -3.9488554881667625e-03 -1.5425048939312722e+01 +5.8080673067036108e+11 
+2.5000000000000000e+00 -3.9487660701372513e-03 -1.5425722990983742e+01 +5.8089806671343433e+11 
+2.6000000000000001e+00 -3.9486729914911733e-03 -1.5426410160087352e+01 +5.8098485805770630e+11 
+2.7000000000000002e+00 -3.9485762304273418e-03 -1.5427110615849484e+01 +5.8106692576871277e+11 
+2.8000000000000003e+00 -3.9484757651445969e-03 -1.5427824527495543e+01 +5.8114409091188025e+11 
+2.9000000000000004e+00 -3.9483715738417658e-03 -1.5428552064251329e+01 +5.8121617455273132e+11 
+3.0000000000000000e+00 -3.9482636347176791e-03 -1.5429293395342450e+01 +5.8128299775673926e+11 
+3.1000000000000001e+00 -3.9481519075216876e-03 -1.5430049349492661e+01 +5.8134474083959375e+11 
+3.2000000000000002e+00 -3.9480362782052681e-03 -1.5430823393417521e+01 +5.8140302111770996e+11 
+3.3000000000000003e+00 -3.9479166142704592e-03 -1.5431619653329633e+01 +5.8145981515737952e+11 
+3.4000000000000004e+00 -3.9477927832192649e-03 -1.5432442255442608e+01 +5.8151709952521875e+11 
+3.5000000000000000e+00 -3.9476646525536977e-03 -1.5433295325969539e+01 +5.8157685078764624e+11 
+3.6000000000000001e+00 -3.9475320897757720e-03 -1.5434182991123913e+01 +5.8164104551125232e+11 
+3.7000000000000002e+00 -3.9473949623875107e-03 -1.5435109377118629e+01 +5.8171166026242700e+11 
+3.8000000000000003e+00 -3.9472531378909308e-03 -1.5436078610166922e+01 +5.8179067160765686e+11 
+3.9000000000000004e+00 -3.9471064837880310e-03 -1.5437094816482295e+01 +5.8188005611349036e+11 
+4.0000000000000000e+00 -3.9469548675808534e-03 -1.5438162122277520e+01 +5.8198179034630750e+11 
+4.1000000000000005e+00 -3.9467981725252940e-03 -1.5439283486423786e+01 +5.8209725483972595e+11 
+4.2000000000000002e+00 -3.9466363448928806e-03 -1.5440457198422161e+01 +5.8222544599541907e+11 
+4.2999999999999998e+00 -3.9464693467090410e-03 -1.5441680380431308e+01 +5.8236476418207520e+11 
+4.4000000000000004e+00 -3.9462971399991924e-03 -1.5442950154610058e+01 +5.8251360976842371e+11 
+4.5000000000000000e+00 -3.9461196867887644e-03 -1.5444263643117006e+01 +5.8267038312314514e+11 
+4.6000000000000005e+00 -3.9459369491031708e-03 -1.5445617968111213e+01 +5.8283348461505725e+11 
+4.7000000000000002e+00 -3.9457488889678410e-03 -1.5447010251751330e+01 +5.8300131461285596e+11 
+4.8000000000000007e+00 -3.9455554684081967e-03 -1.5448437616196031e+01 +5.8317227348523718e+11 
+4.9000000000000004e+00 -3.9453566494496673e-03 -1.5449897183604083e+01 +5.8334476160093835e+11 
+5.0000000000000000e+00 -3.9451523941176703e-03 -1.5451386076134169e+01 +5.8351717932861890e+11 
+5.1000000000000005e+00 -3.9449426567742217e-03 -1.5452901977000920e+01 +5.8368815786594043e+11 
+5.2000000000000002e+00 -3.9447273611277096e-03 -1.5454444813641079e+01 +5.8385725172563293e+11 
+5.3000000000000007e+00 -3.9445064232231115e-03 -1.5456015074547309e+01 +5.8402424624936584e+11 
+5.4000000000000004e+00 -3.9442797591054124e-03 -1.5457613248212187e+01 +5.8418892677879590e+11 
+5.5000000000000000e+00 -3.9440472848195872e-03 -1.5459239823128330e+01 +5.8435107865556934e+11 
+5.6000000000000005e+00 -3.9438089164106314e-03 -1.5460895287787903e+01 +5.8451048722117407e+11 
+5.7000000000000002e+00 -3.9435645699235061e-03 -1.5462580130684017e+01 +5.8466693781744580e+11 
+5.8000000000000007e+00 -3.9433141614031953e-03 -1.5464294840309149e+01 +5.8482021578598401e+11 
+5.9000000000000004e+00 -3.9430576068946836e-03 -1.5466039905155826e+01 +5.8497010646841943e+11 
+6.0000000000000000e+00 -3.9427948224429535e-03 -1.5467815813716358e+01 +5.8511639520628149e+11 
+6.1000000000000005e+00 -3.9425257112216724e-03 -1.5469623465968988e+01 +5.8525917326476831e+11 
+6.2000000000000002e+00 -3.9422501249192906e-03 -1.5471465407832463e+01 +5.8539975560238037e+11 
+6.3000000000000007e+00 -3.9419679023529096e-03 -1.5473344596711888e+01 +5.8553976310140845e+11 
+6.4000000000000004e+00 -3.9416788823396906e-03 -1.5475263990011113e+01 +5.8568081664374133e+11 
+6.5000000000000000e+00 -3.9413829036967392e-03 -1.5477226545135126e+01 +5.8582453711161292e+11 
+6.6000000000000005e+00 -3.9410798052411967e-03 -1.5479235219488146e+01 +5.8597254538701062e+11 
+6.7000000000000002e+00 -3.9407694257901941e-03 -1.5481292970474730e+01 +5.8612646235206958e+11 
+6.8000000000000007e+00 -3.9404516041608518e-03 -1.5483402755499368e+01 +5.8628790888881873e+11 
+6.9000000000000004e+00 -3.9401261791703057e-03 -1.5485567531966520e+01 +5.8645850587936487e+11 
+7.0000000000000000e+00 -3.9397929896356921e-03 -1.5487790257280519e+01 +5.8663987420574194e+11 
+7.1000000000000005e+00 -3.9394518769674553e-03 -1.5490073400481327e+01 +5.8683328041426636e+11 
+7.2000000000000002e+00 -3.9391026929493809e-03 -1.5492417477149365e+01 +5.8703857370790942e+11 
+7.3000000000000007e+00 -3.9387452919585559e-03 -1.5494822514500612e+01 +5.8725524895387781e+11 
+7.4000000000000004e+00 -3.9383795283721018e-03 -1.5497288539750464e+01 +5.8748280101920728e+11 
+7.5000000000000000e+00 -3.9380052565671066e-03 -1.5499815580114950e+01 +5.8772072477113818e+11 
+7.6000000000000005e+00 -3.9376223309206702e-03 -1.5502403662810108e+01 +5.8796851507692944e+11 
+7.7000000000000002e+00 -3.9372306058099082e-03 -1.5505052815051267e+01 +5.8822566680359058e+11 
+7.8000000000000007e+00 -3.9368299356119102e-03 -1.5507763064054540e+01 +5.8849167481839587e+11 
+7.9000000000000004e+00 -3.9364201747037865e-03 -1.5510534437035396e+01 +5.8876603398838611e+11 
+8.0000000000000000e+00 -3.9360011774626355e-03 -1.5513366961209904e+01 +5.8904823918084082e+11 
+8.0999999999999996e+00 -3.9355727800254531e-03 -1.5516260725899144e+01 +5.8933780519366101e+11 
+8.2000000000000011e+00 -3.9351347455688340e-03 -1.5519216068845585e+01 +5.8963432654783545e+11 
+8.3000000000000007e+00 -3.9346868190292678e-03 -1.5522233389896943e+01 +5.8993741769507605e+11 
+8.4000000000000004e+00 -3.9342287453432321e-03 -1.5525313088901370e+01 +5.9024669308724475e+11 
+8.5000000000000000e+00 -3.9337602694472212e-03 -1.5528455565706397e+01 +5.9056176717599365e+11 
+8.5999999999999996e+00 -3.9332811362777272e-03 -1.5531661220159917e+01 +5.9088225441310193e+11 
+8.7000000000000011e+00 -3.9327910907712201e-03 -1.5534930452110093e+01 +5.9120776925042639e+11 
+8.8000000000000007e+00 -3.9322898778641983e-03 -1.5538263661404580e+01 +5.9153792613966833e+11 
+8.9000000000000004e+00 -3.9317772424931540e-03 -1.5541661247891032e+01 +5.9187233953253174e+11 
+9.0000000000000000e+00 -3.9312529295945624e-03 -1.5545123611417674e+01 +5.9221062388090466e+11 
+9.0999999999999996e+00 -3.9307167021363342e-03 -1.5548650945779155e+01 +5.9255225354888770e+11 
+9.2000000000000011e+00 -3.9301683952120154e-03 -1.5552242620559880e+01 +5.9289614255100623e+11 
+9.3000000000000007e+00 -3.9296078619465704e-03 -1.5555897799291033e+01 +5.9324106481412036e+11 
+9.4000000000000004e+00 -3.9290349554649724e-03 -1.5559615645503701e+01 +5.9358579426505603e+11 
+9.5000000000000000e+00 -3.9284495288921875e-03 -1.5563395322729095e+01 +5.9392910483066553e+11 
+9.6000000000000014e+00 -3.9278514353531784e-03 -1.5567235994498631e+01 +5.9426977043791260e+11 
+9.7000000000000011e+00 -3.9272405279729104e-03 -1.5571136824343506e+01 +5.9460656501365442e+11 
+9.8000000000000007e+00 -3.9266166598763592e-03 -1.5575096975794766e+01 +5.9493826248470435e+11 
+9.9000000000000004e+00 -3.9259796841884815e-03 -1.5579115612383889e+01 +5.9526363677803625e+11 
+1.0000000000000000e+01 -3.9253294540342494e-03 -1.5583191897642001e+01 +5.9558146182048169e+11 
+1.0100000000000001e+01 -3.9246657800165018e-03 -1.5587326143249758e+01 +5.9589132613334912e+11 
+1.0200000000000001e+01 -3.9239883026495753e-03 -1.5591523253484691e+01 +5.9619607661539856e+11 
+1.0300000000000001e+01 -3.9232966199256782e-03 -1.5595789280774129e+01 +5.9649937475994751e+11 
+1.0400000000000000e+01 -3.9225903298370276e-03 -1.5600130277544851e+01 +5.9680488206013452e+11 
+1.0500000000000000e+01 -3.9218690303758309e-03 -1.5604552296224051e+01 +5.9711626000923840e+11 
+1.0600000000000001e+01 -3.9211323195343000e-03 -1.5609061389238718e+01 +5.9743717010044177e+11 
+1.0700000000000001e+01 -3.9203797953046510e-03 -1.5613663609015815e+01 +5.9777127382696338e+11 
+1.0800000000000001e+01 -3.9196110556790897e-03 -1.5618365007982398e+01 +5.9812223268200696e+11 
+1.0900000000000000e+01 -3.9188256986498237e-03 -1.5623171638565699e+01 +5.9849370815886902e+11 
+1.1000000000000000e+01 -3.9180233222090733e-03 -1.5628089553192577e+01 +5.9888936175071948e+11 
+1.1100000000000001e+01 -3.9172035295263153e-03 -1.5633123233263444e+01 +5.9931177257542065e+11 
+1.1200000000000001e+01 -3.9163659444800920e-03 -1.5638270876072221e+01 +5.9975919024947864e+11 
+1.1300000000000001e+01 -3.9155101961262269e-03 -1.5643529107886023e+01 +6.0022878201398828e+11 
+1.1400000000000000e+01 -3.9146359135205323e-03 -1.5648894554972024e+01 +6.0071771511005505e+11 
+1.1500000000000000e+01 -3.9137427257188327e-03 -1.5654363843597373e+01 +6.0122315677881030e+11 
+1.1600000000000001e+01 -3.9128302617769334e-03 -1.5659933600029417e+01 +6.0174227426140356e+11 
+1.1700000000000001e+01 -3.9118981507506598e-03 -1.5665600450535127e+01 +6.0227223479889075e+11 
+1.1800000000000001e+01 -3.9109460216958233e-03 -1.5671361021381857e+01 +6.0281020563245251e+11 
+1.1900000000000000e+01 -3.9099735036682518e-03 -1.5677211938836484e+01 +6.0335335400310095e+11 
+1.2000000000000000e+01 -3.9089802257237473e-03 -1.5683149829166544e+01 +6.0389884715206580e+11 
+1.2100000000000001e+01 -3.9079658107110905e-03 -1.5689171895116026e+01 +6.0444424522445410e+11 
+1.2200000000000001e+01 -3.9069298566508821e-03 -1.5695277645336425e+01 +6.0498867998132678e+11 
+1.2300000000000001e+01 -3.9058719553566892e-03 -1.5701467164956172e+01 +6.0553167608777771e+11 
+1.2400000000000000e+01 -3.9047916986420747e-03 -1.5707740539103600e+01 +6.0607275820886133e+11 
+1.2500000000000000e+01 -3.9036886783205835e-03 -1.5714097852907457e+01 +6.0661145100976514e+11 
+1.2600000000000001e+01 -3.9025624862057879e-03 -1.5720539191496080e+01 +6.0714727915556445e+11 
+1.2700000000000001e+01 -3.9014127141112427e-03 -1.5727064639997835e+01 +6.0767976731129333e+11 
+1.2800000000000001e+01 -3.9002389538505149e-03 -1.5733674283541326e+01 +6.0820844014214661e+11 
+1.2900000000000000e+01 -3.8990407972371672e-03 -1.5740368207254715e+01 +6.0873282231308582e+11 
+1.3000000000000000e+01 -3.8978178360847462e-03 -1.5747146496266815e+01 +6.0925243848933167e+11 
+1.3100000000000001e+01 -3.8965696394024727e-03 -1.5754009569460832e+01 +6.0976714483729114e+11 
+1.3200000000000001e+01 -3.8952956849821656e-03 -1.5760959180739320e+01 +6.1027812352863696e+11 
+1.3300000000000001e+01 -3.8939954278112998e-03 -1.5767997417759654e+01 +6.1078688823636279e+11 
+1.3400000000000000e+01 -3.8926683228773396e-03 -1.5775126368179579e+01 +6.1129495263361816e+11 
+1.3500000000000000e+01 -3.8913138251677566e-03 -1.5782348119656413e+01 +6.1180383039336572e+11 
