# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=8][T/m^n] 
+0.0000000000000000e+00 -3.9349981568431412e-03 +1.5952907759107928e+01 +6.8371038018775647e+11 
+1.0000000000000001e-01 -3.9349939479142084e-03 +1.5952775014407216e+01 +6.8378355907586328e+11 
+2.0000000000000001e-01 -3.9349820220416819e-03 +1.5952413798289134e+01 +6.8397957483121082e+11 
+3.0000000000000004e-01 -3.9349634305969787e-03 +1.5951879637730059e+01 +6.8426314609023840e+11 
+4.0000000000000002e-01 -3.9349392249515081e-03 +1.5951228059705958e+01 +6.8459899148953857e+11 
+5.0000000000000000e-01 -3.9349104564766818e-03 +1.5950514591193100e+01 +6.8495182966558435e+11 
+6.0000000000000009e-01 -3.9348781765439229e-03 +1.5949794759167849e+01 +6.8528637925483069e+11 
+7.0000000000000007e-01 -3.9348434365246345e-03 +1.5949124090606215e+01 +6.8556735889384167e+11 
+8.0000000000000004e-01 -3.9348072877902372e-03 +1.5948558112484582e+01 +6.8575948721906445e+11 
+9.0000000000000002e-01 -3.9347707817121297e-03 +1.5948152351778804e+01 +6.8582748286710181e+11 
+1.0000000000000000e+00 -3.9347349696617394e-03 +1.5947962335465379e+01 +6.8573606447438013e+11 
+1.1000000000000001e+00 -3.9347005611871950e-03 +1.5948025730729924e+01 +6.8546237368873193e+11 
+1.2000000000000002e+00 -3.9346668985435068e-03 +1.5948308765595913e+01 +6.8503324420329163e+11 
+1.3000000000000000e+00 -3.9346329821624074e-03 +1.5948759808296540e+01 +6.8448793272242871e+11 
+1.4000000000000001e+00 -3.9345978124756291e-03 +1.5949327227064835e+01 +6.8386569595057190e+11 
+1.5000000000000000e+00 -3.9345603899148983e-03 +1.5949959390133639e+01 +6.8320579059221265e+11 
+1.6000000000000001e+00 -3.9345197149119517e-03 +1.5950604665736222e+01 +6.8254747335169946e+11 
+1.7000000000000002e+00 -3.9344747878985193e-03 +1.5951211422105578e+01 +6.8193000093346130e+11 
+1.8000000000000000e+00 -3.9344246093063317e-03 +1.5951728027474708e+01 +6.8139263004195312e+11 
+1.9000000000000001e+00 -3.9343681795671178e-03 +1.5952102850076642e+01 +6.8097461738158044e+11 
+2.0000000000000000e+00 -3.9343044991126154e-03 +1.5952284258144550e+01 +6.8071521965673865e+11 
+2.1000000000000001e+00 -3.9342328203946378e-03 +1.5952234248229686e+01 +6.8064213145322705e+11 
+2.2000000000000002e+00 -3.9341534039453157e-03 +1.5951969330155498e+01 +6.8073679888259204e+11 
+2.3000000000000003e+00 -3.9340667623168849e-03 +1.5951519642064323e+01 +6.8096910593754797e+11 
+2.4000000000000004e+00 -3.9339734080615649e-03 +1.5950915322097977e+01 +6.8130893661097253e+11 
+2.5000000000000000e+00 -3.9338738537315837e-03 +1.5950186508398575e+01 +6.8172617489564514e+11 
+2.6000000000000001e+00 -3.9337686118791626e-03 +1.5949363339107983e+01 +6.8219070478443054e+11 
+2.7000000000000002e+00 -3.9336581950565226e-03 +1.5948475952368089e+01 +6.8267241027018066e+11 
