# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+0.0000000000000000e+00 +3.9431047056902062e-03 -1.5096732116374785e+01 +3.9849034775735236e+11 
+1.0000000000000001e-01 +3.9431024375368743e-03 -1.5096696312082919e+01 +3.9849388989222894e+11 
+2.0000000000000001e-01 +3.9430957627473702e-03 -1.5096593882136206e+01 +3.9850350222308893e+11 
+3.0000000000000004e-01 +3.9430848758274257e-03 -1.5096432300927495e+01 +3.9851766363912036e+11 
+4.0000000000000002e-01 +3.9430699712827881e-03 -1.5096219042850006e+01 +3.9853485302961255e+11 
+5.0000000000000000e-01 +3.9430512436191842e-03 -1.5095961582296612e+01 +3.9855354928376654e+11 
+6.0000000000000009e-01 +3.9430288873423657e-03 -1.5095667393660634e+01 +3.9857223129090552e+11 
+7.0000000000000007e-01 +3.9430030969580610e-03 -1.5095343951334948e+01 +3.9858937794023566e+11 
+8.0000000000000004e-01 +3.9429740669720123e-03 -1.5094998729712705e+01 +3.9860346812102814e+11 
+9.0000000000000002e-01 +3.9429419918899549e-03 -1.5094639203186894e+01 +3.9861298072251263e+11 
+1.0000000000000000e+00 +3.9429070662176284e-03 -1.5094272846150586e+01 +3.9861639463393683e+11 
+1.1000000000000001e+00 +3.9428694344493913e-03 -1.5093905160959473e+01 +3.9861245917226575e+11 
+1.2000000000000002e+00 +3.9428290410340660e-03 -1.5093533761819415e+01 +3.9860100536518451e+11 
+1.3000000000000000e+00 +3.9427857804091070e-03 -1.5093154290899047e+01 +3.9858213466810315e+11 
+1.4000000000000001e+00 +3.9427395470119494e-03 -1.5092762390366589e+01 +3.9855594853632288e+11 
+1.5000000000000000e+00 +3.9426902352800363e-03 -1.5092353702390600e+01 +3.9852254842526666e+11 
+1.6000000000000001e+00 +3.9426377396508238e-03 -1.5091923869139700e+01 +3.9848203579034198e+11 
+1.7000000000000002e+00 +3.9425819545617566e-03 -1.5091468532782404e+01 +3.9843451208694073e+11 
+1.8000000000000000e+00 +3.9425227744502708e-03 -1.5090983335486980e+01 +3.9838007877038214e+11 
+1.9000000000000001e+00 +3.9424600937538225e-03 -1.5090463919422170e+01 +3.9831883729612305e+11 
+2.0000000000000000e+00 +3.9423938069098503e-03 -1.5089905926756272e+01 +3.9825088911948273e+11 
+2.1000000000000001e+00 +3.9423238195868361e-03 -1.5089305937426500e+01 +3.9817639587633282e+11 
+2.2000000000000002e+00 +3.9422500823773667e-03 -1.5088664282443974e+01 +3.9809575992412445e+11 
+2.3000000000000003e+00 +3.9421725571050772e-03 -1.5087982230588734e+01 +3.9800944380085345e+11 
+2.4000000000000004e+00 +3.9420912055935890e-03 -1.5087261050640548e+01 +3.9791791004442999e+11 
+2.5000000000000000e+00 +3.9420059896665373e-03 -1.5086502011379519e+01 +3.9782162119287836e+11 
+2.6000000000000001e+00 +3.9419168711475414e-03 -1.5085706381585336e+01 +3.9772103978407764e+11 
+2.7000000000000002e+00 +3.9418238118602350e-03 -1.5084875430038009e+01 +3.9761662835601587e+11 
+2.8000000000000003e+00 +3.9417267736282426e-03 -1.5084010425517446e+01 +3.9750884944664984e+11 
+2.9000000000000004e+00 +3.9416257182751848e-03 -1.5083112636803312e+01 +3.9739816559385864e+11 
+3.0000000000000000e+00 +3.9415206076246984e-03 -1.5082183332675772e+01 +3.9728503933567694e+11 
+3.1000000000000001e+00 +3.9414114023673891e-03 -1.5081223328233683e+01 +3.9716976106573950e+11 
+3.2000000000000002e+00 +3.9412980586617900e-03 -1.5080231623851962e+01 +3.9705193260042053e+11 
+3.3000000000000003e+00 +3.9411805315334187e-03 -1.5079206766224768e+01 +3.9693098361190710e+11 
+3.4000000000000004e+00 +3.9410587760077944e-03 -1.5078147302046220e+01 +3.9680634377232404e+11 
+3.5000000000000000e+00 +3.9409327471104285e-03 -1.5077051778010210e+01 +3.9667744275375452e+11 
+3.6000000000000001e+00 +3.9408023998668473e-03 -1.5075918740811037e+01 +3.9654371022839856e+11 
+3.7000000000000002e+00 +3.9406676893025613e-03 -1.5074746737142629e+01 +3.9640457586834204e+11 
+3.8000000000000003e+00 +3.9405285704430890e-03 -1.5073534313699142e+01 +3.9625946934574866e+11 
+3.9000000000000004e+00 +3.9403849983139462e-03 -1.5072280017174556e+01 +3.9610782033271973e+11 
+4.0000000000000000e+00 +3.9402369279406503e-03 -1.5070982394262973e+01 +3.9594905850138525e+11 
+4.1000000000000005e+00 +3.9400843081824118e-03 -1.5069640155547887e+01 +3.9578272836466248e+11 
+4.2000000000000002e+00 +3.9399270632332027e-03 -1.5068252667170212e+01 +3.9560883379844122e+11 
+4.2999999999999998e+00 +3.9397651111206791e-03 -1.5066819459160042e+01 +3.9542749351930524e+11 
+4.4000000000000004e+00 +3.9395983698725084e-03 -1.5065340061547751e+01 +3.9523882624394196e+11 
+4.5000000000000000e+00 +3.9394267575163589e-03 -1.5063814004363797e+01 +3.9504295068905969e+11 
+4.6000000000000005e+00 +3.9392501920798738e-03 -1.5062240817637941e+01 +3.9483998557113837e+11 
+4.7000000000000002e+00 +3.9390685915907369e-03 -1.5060620031400942e+01 +3.9463004960697961e+11 
+4.8000000000000007e+00 +3.9388818740766019e-03 -1.5058951175682893e+01 +3.9441326151317499e+11 
+4.9000000000000004e+00 +3.9386899575651274e-03 -1.5057233780513940e+01 +3.9418974000632886e+11 
+5.0000000000000000e+00 +3.9384927600839810e-03 -1.5055467375924433e+01 +3.9395960380311578e+11 
+5.1000000000000005e+00 +3.9382901967472085e-03 -1.5053651364340469e+01 +3.9372290731150983e+11 
+5.2000000000000002e+00 +3.9380821710143891e-03 -1.5051784637771192e+01 +3.9347944770473175e+11 
+5.3000000000000007e+00 +3.9378685834314834e-03 -1.5049865960621544e+01 +3.9322895784730988e+11 
+5.4000000000000004e+00 +3.9376493345444569e-03 -1.5047894097296473e+01 +3.9297117060379041e+11 
+5.5000000000000000e+00 +3.9374243248992769e-03 -1.5045867812201100e+01 +3.9270581883876636e+11 
+5.6000000000000005e+00 +3.9371934550419003e-03 -1.5043785869740203e+01 +3.9243263541671667e+11 
+5.7000000000000002e+00 +3.9369566255182953e-03 -1.5041647034318887e+01 +3.9215135320223425e+11 
+5.8000000000000007e+00 +3.9367137368744188e-03 -1.5039450070341980e+01 +3.9186170505982141e+11 
+5.9000000000000004e+00 +3.9364646896562399e-03 -1.5037193742214548e+01 +3.9156342385405029e+11 
+6.0000000000000000e+00 +3.9362093844097232e-03 -1.5034876814341636e+01 +3.9125624244949066e+11 
+6.1000000000000005e+00 +3.9359477200935668e-03 -1.5032498202216086e+01 +3.9094000960475116e+11 
+6.2000000000000002e+00 +3.9356795893174170e-03 -1.5030057425682612e+01 +3.9061503765478296e+11 
+6.3000000000000007e+00 +3.9354048831036666e-03 -1.5027554155674160e+01 +3.9028175482873206e+11 
+6.4000000000000004e+00 +3.9351234924746986e-03 -1.5024988063123294e+01 +3.8994058935559125e+11 
+6.5000000000000000e+00 +3.9348353084528980e-03 -1.5022358818962887e+01 +3.8959196946448834e+11 
+6.6000000000000005e+00 +3.9345402220606601e-03 -1.5019666094125750e+01 +3.8923632338449664e+11 
+6.7000000000000002e+00 +3.9342381243203618e-03 -1.5016909559544482e+01 +3.8887407934465302e+11 
+6.8000000000000007e+00 +3.9339289062543942e-03 -1.5014088886151944e+01 +3.8850566557405676e+11 
+6.9000000000000004e+00 +3.9336124588851447e-03 -1.5011203744880881e+01 +3.8813151030177069e+11 
+7.0000000000000000e+00 +3.9332886732349973e-03 -1.5008253806664024e+01 +3.8775204175687073e+11 
+7.1000000000000005e+00 +3.9329574291301116e-03 -1.5005238362208601e+01 +3.8736747435394940e+11 
+7.2000000000000002e+00 +3.9326185616117126e-03 -1.5002155181319178e+01 +3.8697716724955182e+11 
+7.3000000000000007e+00 +3.9322718945248017e-03 -1.4999001653575029e+01 +3.8658026578582800e+11 
+7.4000000000000004e+00 +3.9319172517143699e-03 -1.4995775168555079e+01 +3.8617591530481635e+11 
+7.5000000000000000e+00 +3.9315544570254195e-03 -1.4992473115838520e+01 +3.8576326114863312e+11 
+7.6000000000000005e+00 +3.9311833343029469e-03 -1.4989092885004490e+01 +3.8534144865938940e+11 
+7.7000000000000002e+00 +3.9308037073919437e-03 -1.4985631865631897e+01 +3.8490962317911847e+11 
+7.8000000000000007e+00 +3.9304154001374176e-03 -1.4982087447300072e+01 +3.8446693004998065e+11 
+7.9000000000000004e+00 +3.9300182363843517e-03 -1.4978457019587891e+01 +3.8401251461400922e+11 
+8.0000000000000000e+00 +3.9296120399777571e-03 -1.4974737972074632e+01 +3.8354552221333606e+11 
+8.0999999999999996e+00 +3.9291966323598635e-03 -1.4970927913282241e+01 +3.8306527149365894e+11 
+8.2000000000000011e+00 +3.9287718253618424e-03 -1.4967025327504025e+01 +3.8257177431503613e+11 
+8.3000000000000007e+00 +3.9283374284121136e-03 -1.4963028917976246e+01 +3.8206521584110474e+11 
+8.4000000000000004e+00 +3.9278932509390916e-03 -1.4958937387935398e+01 +3.8154578123565771e+11 
+8.5000000000000000e+00 +3.9274391023711892e-03 -1.4954749440617624e+01 +3.8101365566230884e+11 
+8.5999999999999996e+00 +3.9269747921368264e-03 -1.4950463779259321e+01 +3.8046902428477576e+11 
+8.7000000000000011e+00 +3.9265001296644080e-03 -1.4946079107096589e+01 +3.7991207226668781e+11 
+8.8000000000000007e+00 +3.9260149243823582e-03 -1.4941594127365910e+01 +3.7934298477178607e+11 
+8.9000000000000004e+00 +3.9255189857190873e-03 -1.4937007543303558e+01 +3.7876194696375177e+11 
+9.0000000000000000e+00 +3.9250121231030072e-03 -1.4932318058145666e+01 +3.7816914400621692e+11 
+9.0999999999999996e+00 +3.9244941367868220e-03 -1.4927524109414342e+01 +3.7756462057353259e+11 
+9.2000000000000011e+00 +3.9239647903203329e-03 -1.4922623071773289e+01 +3.7694785938219696e+11 
+9.3000000000000007e+00 +3.9234238380776495e-03 -1.4917612054172388e+01 +3.7631820265946881e+11 
+9.4000000000000004e+00 +3.9228710344328599e-03 -1.4912488165561003e+01 +3.7567499263244592e+11 
+9.5000000000000000e+00 +3.9223061337600581e-03 -1.4907248514888748e+01 +3.7501757152833777e+11 
+9.6000000000000014e+00 +3.9217288904333410e-03 -1.4901890211105192e+01 +3.7434528157429944e+11 
+9.7000000000000011e+00 +3.9211390588268086e-03 -1.4896410363159951e+01 +3.7365746499751166e+11 
+9.8000000000000007e+00 +3.9205363933145516e-03 -1.4890806080002578e+01 +3.7295346402515289e+11 
+9.9000000000000004e+00 +3.9199206482706641e-03 -1.4885074470582584e+01 +3.7223262088437024e+11 
+1.0000000000000000e+01 +3.9192915780692427e-03 -1.4879212643849524e+01 +3.7149427780233160e+11 
+1.0100000000000001e+01 +3.9186489319594491e-03 -1.4873217863260363e+01 +3.7073793491152905e+11 
+1.0200000000000001e+01 +3.9179924386906449e-03 -1.4867088010300014e+01 +3.6996372396524188e+11 
+1.0300000000000001e+01 +3.9173218218872862e-03 -1.4860821120961273e+01 +3.6917193462221375e+11 
+1.0400000000000000e+01 +3.9166368051737977e-03 -1.4854415231236406e+01 +3.6836285654104016e+11 
+1.0500000000000000e+01 +3.9159371121746190e-03 -1.4847868377117891e+01 +3.6753677938036615e+11 
+1.0600000000000001e+01 +3.9152224665141922e-03 -1.4841178594598269e+01 +3.6669399279886786e+11 
+1.0700000000000001e+01 +3.9144925918169499e-03 -1.4834343919669942e+01 +3.6583478645517194e+11 
+1.0800000000000001e+01 +3.9137472117073309e-03 -1.4827362388325346e+01 +3.6495945000791565e+11 
+1.0900000000000000e+01 +3.9129860498097703e-03 -1.4820232036556940e+01 +3.6406827311574127e+11 
+1.1000000000000000e+01 +3.9122088297487059e-03 -1.4812950900357135e+01 +3.6316154543728857e+11 
+1.1100000000000001e+01 +3.9114152564289273e-03 -1.4805516658510033e+01 +3.6223937635882068e+11 
+1.1200000000000001e+01 +3.9106049598766311e-03 -1.4797925560965833e+01 +3.6130115417694336e+11 
+1.1300000000000001e+01 +3.9097775513983564e-03 -1.4790173500466059e+01 +3.6034608691578961e+11 
+1.1400000000000000e+01 +3.9089326423006523e-03 -1.4782256369752611e+01 +3.5937338259960675e+11 
+1.1500000000000000e+01 +3.9080698438900552e-03 -1.4774170061566972e+01 +3.5838224925251740e+11 
+1.1600000000000001e+01 +3.9071887674731257e-03 -1.4765910468651180e+01 +3.5737189489880524e+11 
+1.1700000000000001e+01 +3.9062890243563991e-03 -1.4757473483746802e+01 +3.5634152756262140e+11 
+1.1800000000000001e+01 +3.9053702258464162e-03 -1.4748854999595407e+01 +3.5529035526810681e+11 
+1.1900000000000000e+01 +3.9044319832497259e-03 -1.4740050908938841e+01 +3.5421758603950610e+11 
+1.2000000000000000e+01 +3.9034739078728760e-03 -1.4731057104518799e+01 +3.5312242790097314e+11 
+1.2100000000000001e+01 +3.9024956050081748e-03 -1.4721869499001210e+01 +3.5200413968932654e+11 
+1.2200000000000001e+01 +3.9014966558909895e-03 -1.4712484084748775e+01 +3.5086218349173303e+11 
+1.2300000000000001e+01 +3.9004766357424499e-03 -1.4702896874048097e+01 +3.4969607220785815e+11 
+1.2400000000000000e+01 +3.8994351197836948e-03 -1.4693103879186282e+01 +3.4850531873753601e+11 
+1.2500000000000000e+01 +3.8983716832358540e-03 -1.4683101112450037e+01 +3.4728943598047626e+11 
+1.2600000000000001e+01 +3.8972859013200597e-03 -1.4672884586126230e+01 +3.4604793683643518e+11 
+1.2700000000000001e+01 +3.8961773492574426e-03 -1.4662450312501589e+01 +3.4478033420512500e+11 
+1.2800000000000001e+01 +3.8950456022691397e-03 -1.4651794303863063e+01 +3.4348614098632275e+11 
+1.2900000000000000e+01 +3.8938902355762795e-03 -1.4640912572497419e+01 +3.4216487007976141e+11 
+1.3000000000000000e+01 +3.8927108243999994e-03 -1.4629801130691572e+01 +3.4081603438520764e+11 
+1.3100000000000001e+01 +3.8915069322982008e-03 -1.4618456096250316e+01 +3.3943926844018335e+11 
+1.3200000000000001e+01 +3.8902780761758586e-03 -1.4606874009050482e+01 +3.3803469333339435e+11 
+1.3300000000000001e+01 +3.8890237612747361e-03 -1.4595051514487082e+01 +3.3660255179136395e+11 
+1.3400000000000000e+01 +3.8877434928365770e-03 -1.4582985257954975e+01 +3.3514308654060516e+11 
+1.3500000000000000e+01 +3.8864367761031328e-03 -1.4570671884848915e+01 +3.3365654030755817e+11 
+1.3600000000000001e+01 +3.8851031163161650e-03 -1.4558108040564102e+01 +3.3214315581883716e+11 
+1.3700000000000001e+01 +3.8837420187174086e-03 -1.4545290370495037e+01 +3.3060317580081750e+11 
+1.3800000000000001e+01 +3.8823529885486305e-03 -1.4532215520036962e+01 +3.2903684298011334e+11 
+1.3900000000000000e+01 +3.8809355310515776e-03 -1.4518880134584601e+01 +3.2744440008316492e+11 
+1.4000000000000000e+01 +3.8794891514679995e-03 -1.4505280859532949e+01 +3.2582608983653192e+11 
+1.4100000000000001e+01 +3.8780133323089508e-03 -1.4491413928668678e+01 +3.2418193967571655e+11 
+1.4200000000000001e+01 +3.8765074651626774e-03 -1.4477273929346143e+01 +3.2251111587254431e+11 
+1.4300000000000001e+01 +3.8749709188867268e-03 -1.4462855037311334e+01 +3.2081256940778577e+11 
