fieldmap_name:     	SI FC
timestamp:         	2018-05-23_14-31-47
filename:          	2018-05-23_SI_FC_Model04_Rot45_Sim_X=-12_12mm_Z=-250_250mm_Ich=0A_Icv=0.72A.txt
nr_magnets:        	1

magnet_name:       	SI
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
current_ch[A]:     	0
NI_ch[A.esp]:      	0
current_cv[A]:     	0.72
NI_cv[A.esp]:      	40.32
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-12	0	-250	1.71486586646734E-06	-9.99781298239245E-12	-2.8175036697257E-07
-11	0	-250	1.71899346172791E-06	-1.36184889579742E-11	-2.58653214459539E-07
-10	0	-250	1.72276990034714E-06	-9.91126648332327E-12	-2.3545821669949E-07
-9	0	-250	1.72619450241562E-06	-1.36193596609916E-11	-2.12174353537476E-07
-8	0	-250	1.72926329701107E-06	-9.83338313668154E-12	-1.88809959602145E-07
-7	0	-250	1.73197663399476E-06	-1.36182711601964E-11	-1.65374157810067E-07
-6	0	-250	1.73433035184394E-06	-9.7647366196415E-12	-1.41875405132817E-07
-5	0	-250	1.73632594452541E-06	-1.37057577652398E-11	-1.18322840470168E-07
-4	0	-250	1.73795877948255E-06	-9.7062751777555E-12	-9.47252952030995E-08
-3	0	-250	1.73923164258981E-06	-1.36464070460704E-11	-7.10917589668543E-08
-2	0	-250	1.74013976589202E-06	-9.65867618509779E-12	-4.74310756793536E-08
-1	0	-250	1.7406868075073E-06	-1.35861968239509E-11	-2.37524801092523E-08
0	0	-250	1.74087218898048E-06	-1.38047691088246E-11	-6.46638909075082E-11
1	0	-250	1.74068789891279E-06	-1.35254947767833E-11	2.36229313399597E-08
2	0	-250	1.7401443356857E-06	-1.38244222288289E-11	4.7301784196009E-08
3	0	-250	1.73923491534087E-06	-1.34646604122306E-11	7.09622922852826E-08
4	0	-250	1.73796542763756E-06	-1.38424992098462E-11	9.45961160633547E-08
5	0	-250	1.73633139423099E-06	-1.34040446198609E-11	1.18193537792455E-07
6	0	-250	1.73433906819414E-06	-1.3859015534637E-11	1.4174641427419E-07
7	0	-250	1.73198439640207E-06	-1.3343988075591E-11	1.65244956940623E-07
8	0	-250	1.72927406967971E-06	-1.81656996962349E-11	1.88681232722358E-07
9	0	-250	1.72620447510348E-06	-1.47444482932871E-11	2.1204542675416E-07
10	0	-250	1.72278271566904E-06	-1.80106742701035E-11	2.35329829124139E-07
11	0	-250	1.71900562999337E-06	-1.47257384206921E-11	2.58524642973387E-07
12	0	-250	1.71488070873795E-06	-1.78529642855839E-11	2.81622393210985E-07
-12	0	-249	1.73814556834381E-06	-1.42218230995587E-11	-2.87524614887213E-07
-11	0	-249	1.74237596611123E-06	-1.45127866154235E-11	-2.63959572615269E-07
-10	0	-249	1.74624796124261E-06	-1.42657208334195E-11	-2.40289768635583E-07
-9	0	-249	1.74975766068235E-06	-1.45287165075793E-11	-2.16532354629926E-07
-8	0	-249	1.75290457520046E-06	-1.43099863535338E-11	-1.926882499103E-07
-7	0	-249	1.75568502375156E-06	-1.45416988941065E-11	-1.68774254347128E-07
-6	0	-249	1.75809947418309E-06	-1.46528721267709E-11	-1.4479162863638E-07
-5	0	-249	1.7601435778943E-06	-1.45518582758997E-11	-1.20757654620867E-07
-4	0	-249	1.76181937608539E-06	-1.47612632910803E-11	-9.66733257770797E-08
-3	0	-249	1.76312240840664E-06	-1.45592138437966E-11	-7.25557886522297E-08
-2	0	-249	1.7640554474764E-06	-1.48706081579482E-11	-4.84066293361486E-08
-1	0	-249	1.76461421145471E-06	-1.45638449989126E-11	-2.4242500205315E-08
0	0	-249	1.76480140719578E-06	-1.41849149801459E-11	-6.55967477407955E-11
1	0	-249	1.76461532633279E-06	-1.45658282425939E-11	2.41079992400443E-08
2	0	-249	1.76405622078994E-06	-1.41672245849003E-11	4.82755408764916E-08
3	0	-249	1.76312575165043E-06	-1.45652368388158E-11	7.24213753446292E-08
4	0	-249	1.76182240931351E-06	-1.41479770637235E-11	9.65424184827149E-08
5	0	-249	1.76014914533598E-06	-1.45621417848839E-11	1.20623416439035E-07
6	0	-249	1.75810476119455E-06	-1.41273110921152E-11	1.44660977943067E-07
7	0	-249	1.75569280845476E-06	-1.4556613903477E-11	1.68640278381755E-07
8	0	-249	1.75291238825375E-06	-1.64059421250058E-11	1.92557650406578E-07
9	0	-249	1.74976765295101E-06	-1.17323749837916E-11	2.16398727411189E-07
10	0	-249	1.74625799113962E-06	-1.64730126338649E-11	2.40159597675138E-07
11	0	-249	1.74238815353017E-06	-1.18240655583797E-11	2.63826379732338E-07
12	0	-249	1.73815780245924E-06	-1.65351363878756E-11	2.87394950199663E-07
-12	0	-248	1.7618976713138E-06	-1.00440285901138E-11	-2.93444987922852E-07
-11	0	-248	1.76623524757598E-06	-1.38859860286927E-11	-2.6939623832892E-07
-10	0	-248	1.77020399727069E-06	-9.95878482981881E-12	-2.45243680036714E-07
-9	0	-248	1.77380307916227E-06	-1.38846588375186E-11	-2.20996952213229E-07
-8	0	-248	1.7770283644508E-06	-9.8723331832541E-12	-1.96664764550186E-07
-7	0	-248	1.77988026748786E-06	-1.40375243524379E-11	-1.72256759176625E-07
-6	0	-248	1.78235398501972E-06	-9.79589078628424E-12	-1.47782241621877E-07
-5	0	-248	1.78445147212278E-06	-1.3973851856574E-11	-1.23250560941116E-07
-4	0	-248	1.78616772325571E-06	-9.73042872967573E-12	-9.86711161514415E-08
-3	0	-248	1.7875056167458E-06	-1.39089360464532E-11	-7.40535607195033E-08
-2	0	-248	1.78846015432857E-06	-9.67674166332292E-12	-4.94071518110171E-08
-1	0	-248	1.78903514792148E-06	-1.38431710897666E-11	-2.47418075204542E-08
0	0	-248	1.78923004533378E-06	-1.40747277207865E-11	-6.66204849696397E-11
1	0	-248	1.78903627971774E-06	-1.37769451918365E-11	2.4608267842704E-08
2	0	-248	1.78846494454702E-06	-1.40940048102895E-11	4.92739481424321E-08
3	0	-248	1.7875090105823E-06	-1.37106378170777E-11	7.39201069922082E-08
4	0	-248	1.78617466388986E-06	-1.41116667384988E-11	9.85380291339383E-08
5	0	-248	1.78445712334738E-06	-1.36446185501979E-11	1.23117278929242E-07
6	0	-248	1.78236306527222E-06	-1.41277214974234E-11	1.47649350493876E-07
7	0	-248	1.77988816836224E-06	-1.35792479604904E-11	1.72123734274107E-07
8	0	-248	1.77703957174389E-06	-1.86744571212822E-11	1.96532148298626E-07
9	0	-248	1.77381342987719E-06	-1.50571320186343E-11	2.20864057405822E-07
10	0	-248	1.7702173171972E-06	-1.85061212058789E-11	2.45111417269229E-07
11	0	-248	1.76624787595534E-06	-1.3451939220757E-11	2.6926371508049E-07
12	0	-248	1.76191309045462E-06	-1.83337227384054E-11	2.93313157272833E-07
-12	0	-247	1.78613776810271E-06	-1.45109473671984E-11	-2.99513823819437E-07
-11	0	-247	1.79058431279593E-06	-1.48237993335413E-11	-2.7497354030888E-07
-10	0	-247	1.79465444181873E-06	-1.45567308059796E-11	-2.50322054012819E-07
-9	0	-247	1.79834372740477E-06	-1.48393157802456E-11	-2.25577746310623E-07
-8	0	-247	1.80165208707359E-06	-1.47805428274355E-11	-2.00741205301652E-07
-7	0	-247	1.804574788912E-06	-1.48517000086861E-11	-1.75830993471596E-07
-6	0	-247	1.80711300342647E-06	-1.48924931956176E-11	-1.5084781521901E-07
-5	0	-247	1.80926201434459E-06	-1.48611125907285E-11	-1.25810036946699E-07
-4	0	-247	1.81102376555754E-06	-1.50056899834981E-11	-1.00718972127869E-07
-3	0	-247	1.81239372985927E-06	-1.48676233886604E-11	-7.55925484957299E-08
-2	0	-247	1.81337462512205E-06	-1.51202062761987E-11	-5.0432708804194E-08
-1	0	-247	1.8139621231654E-06	-1.4871309973666E-11	-2.52568581932593E-08
0	0	-247	1.81415895294031E-06	-1.44739849597297E-11	-6.75857232132915E-11
1	0	-247	1.81396327858624E-06	-1.48722446793372E-11	2.51183073799068E-08
2	0	-247	1.81337546312237E-06	-1.44542992989898E-11	5.02976475236504E-08
3	0	-247	1.8123971946521E-06	-1.48704960342344E-11	7.54540891610884E-08
4	0	-247	1.81102694686166E-06	-1.44330126374134E-11	1.00584100418022E-07
5	0	-247	1.80926778410384E-06	-1.4866130294222E-11	1.25671760366557E-07
6	0	-247	1.80711852141498E-06	-1.44102632913509E-11	1.50713211742039E-07
7	0	-247	1.80458285630485E-06	-1.48592141743918E-11	1.75692990516167E-07
8	0	-247	1.80165993268969E-06	-1.68834650957299E-11	2.00606947850412E-07
9	0	-247	1.79835408219982E-06	-1.19360118900107E-11	2.25440107238703E-07
10	0	-247	1.79466476411783E-06	-1.43608556868807E-11	2.50188062790116E-07
11	0	-247	1.79059694198915E-06	-1.48380365234389E-11	2.7483635448018E-07
12	0	-247	1.78615037290542E-06	-1.70154926588133E-11	2.99380356010855E-07
-12	0	-246	1.81087409595454E-06	-1.01043882887434E-11	-3.05737862307534E-07
-11	0	-246	1.81543436653214E-06	-1.41625895731385E-11	-2.80689249788313E-07
-10	0	-246	1.81960708550627E-06	-1.00003281387294E-11	-2.55530448672058E-07
-9	0	-246	1.82339145953019E-06	-1.43880881742563E-11	-2.3027158040235E-07
-8	0	-246	1.82678250660006E-06	-9.90421033202161E-12	-2.04922437085027E-07
-7	0	-246	1.8297812399911E-06	-1.4320122776834E-11	-1.7949268650588E-07
-6	0	-246	1.83238240253979E-06	-9.81925913178254E-12	-1.53992306259813E-07
-5	0	-246	1.83458797900103E-06	-1.42504746223865E-11	-1.28431333882836E-07
-4	0	-246	1.83639272073836E-06	-9.74616527657855E-12	-1.02819618924701E-07
-3	0	-246	1.83779960090557E-06	-1.41795676082968E-11	-7.71675276265236E-08
-2	0	-246	1.83880337779191E-06	-9.68583592982716E-12	-5.14847561607147E-08
-1	0	-246	1.83940802423318E-06	-1.41078229730454E-11	-2.57819565692632E-08
0	0	-246	1.83961301860815E-06	-1.43526697601637E-11	-6.86471986676728E-11
1	0	-246	1.83940919825127E-06	-1.4035650102628E-11	2.56442786369672E-08
2	0	-246	1.83880840094347E-06	-1.4371519913515E-11	5.1347500086867E-08
3	0	-246	1.8378031213139E-06	-1.39634490480829E-11	7.70299397434904E-08
4	0	-246	1.8363999692673E-06	-1.43887138057354E-11	1.02682484014611E-07
5	0	-246	1.8345938408666E-06	-1.3891609703656E-11	1.28293925898433E-07
6	0	-246	1.83239186497091E-06	-1.44042503663634E-11	1.53855375239764E-07
7	0	-246	1.82978943510656E-06	-1.38205125093785E-11	1.79355547869132E-07
8	0	-246	1.82679416959453E-06	-1.92060294929945E-11	2.04785792417692E-07
9	0	-246	1.82340197642064E-06	-1.53802436583578E-11	2.30134799950613E-07
10	0	-246	1.81962093379009E-06	-1.44303211070811E-11	2.5539417235423E-07
11	0	-246	1.81544747719929E-06	-1.36823643649764E-11	2.80552628217719E-07
12	0	-246	1.81089011818942E-06	-1.88384344020696E-11	3.05602034781885E-07
-12	0	-245	1.83612335007713E-06	-1.48071038385116E-11	-3.1211911228456E-07
-11	0	-245	1.84079918724275E-06	-1.5144654623408E-11	-2.86553915869636E-07
-10	0	-245	1.84507956007638E-06	-1.49016341285748E-11	-2.60870567085314E-07
-9	0	-245	1.84895932120092E-06	-1.51603330123705E-11	-2.35088917745633E-07
-8	0	-245	1.85243866781019E-06	-1.50174740810452E-11	-2.09209361208782E-07
-7	0	-245	1.85551259997711E-06	-1.51720218894821E-11	-1.83251486168393E-07
