# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+0.0000000000000000e+00 +3.9015289995064564e-03 +1.6230047064609863e+01 +3.1168407496204364e+11 
+1.0000000000000001e-01 +3.9015366314552580e-03 +1.6229447085203418e+01 +3.1224579134837726e+11 
+2.0000000000000001e-01 +3.9015513983394240e-03 +1.6228140216850729e+01 +3.1367242146806146e+11 
+3.0000000000000004e-01 +3.9015700215741765e-03 +1.6226334231033150e+01 +3.1574442411573584e+11 
+4.0000000000000002e-01 +3.9015892225747464e-03 +1.6224236899231609e+01 +3.1824225808619312e+11 
+5.0000000000000000e-01 +3.9016057227563611e-03 +1.6222055992927228e+01 +3.2094638217415857e+11 
+6.0000000000000009e-01 +3.9016162435342606e-03 +1.6219999283600487e+01 +3.2363725517461951e+11 
+7.0000000000000007e-01 +3.9016175063236879e-03 +1.6218274542732313e+01 +3.2609533588231152e+11 
+8.0000000000000004e-01 +3.9016062325398604e-03 +1.6217089541803912e+01 +3.2810108309196771e+11 
+9.0000000000000002e-01 +3.9015791435980255e-03 +1.6216652052295764e+01 +3.2943495559854950e+11 
+1.0000000000000000e+00 +3.9015329609133967e-03 +1.6217169845689355e+01 +3.2987741219662891e+11 
+1.1000000000000001e+00 +3.9014655047070381e-03 +1.6218780605985515e+01 +3.2928197912431073e+11 
+1.2000000000000002e+00 +3.9013789904232890e-03 +1.6221341667266188e+01 +3.2779445239223639e+11 
+1.3000000000000000e+00 +3.9012767323122720e-03 +1.6224640276134444e+01 +3.2563369545394415e+11 
+1.4000000000000001e+00 +3.9011620446241430e-03 +1.6228463679192700e+01 +3.2301857176313824e+11 
+1.5000000000000000e+00 +3.9010382416090625e-03 +1.6232599123043020e+01 +3.2016794477370996e+11 
+1.6000000000000001e+00 +3.9009086375171457e-03 +1.6236833854288804e+01 +3.1730067793907025e+11 
+1.7000000000000002e+00 +3.9007765465985667e-03 +1.6240955119531748e+01 +3.1463563471319080e+11 
+1.8000000000000000e+00 +3.9006452831034546e-03 +1.6244750165374956e+01 +3.1239167854957086e+11 
+1.9000000000000001e+00 +3.9005181612819626e-03 +1.6248006238420647e+01 +3.1078767290205237e+11 
+2.0000000000000000e+00 +3.9003984953842460e-03 +1.6250510585271204e+01 +3.1004248122435254e+11 
+2.1000000000000001e+00 +3.9002885424414355e-03 +1.6252118167312162e+01 +3.1030576233335132e+11 
+2.2000000000000002e+00 +3.9001863306087326e-03 +1.6252954805057598e+01 +3.1145035649971869e+11 
+2.3000000000000003e+00 +3.9000888308223019e-03 +1.6253214033804959e+01 +3.1327989935715735e+11 
+2.4000000000000004e+00 +3.8999930140183256e-03 +1.6253089388851784e+01 +3.1559802653933380e+11 
+2.5000000000000000e+00 +3.8998958511330091e-03 +1.6252774405494378e+01 +3.1820837368035571e+11 
+2.6000000000000001e+00 +3.8997943131025147e-03 +1.6252462619030549e+01 +3.2091457641379089e+11 
+2.7000000000000002e+00 +3.8996853708630295e-03 +1.6252347564757386e+01 +3.2352027037347449e+11 
+2.8000000000000003e+00 +3.8995659953507400e-03 +1.6252622777971890e+01 +3.2582909119325464e+11 
+2.9000000000000004e+00 +3.8994331575018261e-03 +1.6253481793971343e+01 +3.2764467450690424e+11 
+3.0000000000000000e+00 +3.8992838282524700e-03 +1.6255118148052816e+01 +3.2877065594826874e+11 
+3.1000000000000001e+00 +3.8991156598598290e-03 +1.6257678701317030e+01 +3.2906036380047473e+11 
+3.2000000000000002e+00 +3.8989290298649284e-03 +1.6261123618078617e+01 +3.2856589694420886e+11 
+3.3000000000000003e+00 +3.8987249971297721e-03 +1.6265366388455583e+01 +3.2738904690954510e+11 
+3.4000000000000004e+00 +3.8985046205163567e-03 +1.6270320502566097e+01 +3.2563160522652887e+11 
+3.5000000000000000e+00 +3.8982689588866843e-03 +1.6275899450528200e+01 +3.2339536342524457e+11 
+3.6000000000000001e+00 +3.8980190711027582e-03 +1.6282016722459925e+01 +3.2078211303575592e+11 
+3.7000000000000002e+00 +3.8977560160265673e-03 +1.6288585808479596e+01 +3.1789364558805121e+11 
+3.8000000000000003e+00 +3.8974808525201175e-03 +1.6295520198705102e+01 +3.1483175261227710e+11 
+3.9000000000000004e+00 +3.8971946394453999e-03 +1.6302733383254843e+01 +3.1169822563835974e+11 
+4.0000000000000000e+00 +3.8968984356644370e-03 +1.6310138852246464e+01 +3.0859485619650812e+11 
+4.1000000000000005e+00 +3.8965939707757413e-03 +1.6317618231324690e+01 +3.0564527730727557e+11 
+4.2000000000000002e+00 +3.8962856573239906e-03 +1.6324925688239610e+01 +3.0306048795333862e+11 
+4.2999999999999998e+00 +3.8959785785903974e-03 +1.6331783526267294e+01 +3.0107332860811768e+11 
