# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=8][T/m^n] 
+4.4000000000000004e+00 +3.8956778178561649e-03 +1.6337914048684230e+01 +2.9991663974490363e+11 
+4.5000000000000000e+00 +3.8953884584025139e-03 +1.6343039558766460e+01 +2.9982326183704688e+11 
+4.6000000000000005e+00 +3.8951155835106333e-03 +1.6346882359790733e+01 +3.0102603535777588e+11 
+4.7000000000000002e+00 +3.8948642764617537e-03 +1.6349164755032810e+01 +3.0375780078056830e+11 
+4.8000000000000007e+00 +3.8946396205370676e-03 +1.6349609047769352e+01 +3.0825139857863190e+11 
+4.9000000000000004e+00 +3.8944466990177779e-03 +1.6347937541277080e+01 +3.1473966922511212e+11 
+5.0000000000000000e+00 +3.8942905951851172e-03 +1.6343872538831306e+01 +3.2345545319372791e+11 
+5.1000000000000005e+00 +3.8941730456782376e-03 +1.6337322826903350e+01 +3.3446770477797717e+11 
+5.2000000000000002e+00 +3.8940824005681699e-03 +1.6328943124740555e+01 +3.4718983355367316e+11 
+5.3000000000000007e+00 +3.8940036632839205e-03 +1.6319574634784015e+01 +3.6087136291726965e+11 
+5.4000000000000004e+00 +3.8939218372544817e-03 +1.6310058559475550e+01 +3.7476181626495563e+11 
+5.5000000000000000e+00 +3.8938219259088574e-03 +1.6301236101256432e+01 +3.8811071699311230e+11 
+5.6000000000000005e+00 +3.8936889326760321e-03 +1.6293948462568537e+01 +4.0016758849792346e+11 
+5.7000000000000002e+00 +3.8935078609850030e-03 +1.6289036845853406e+01 +4.1018195417567426e+11 
+5.8000000000000007e+00 +3.8932637142647685e-03 +1.6287342453552398e+01 +4.1740333742275348e+11 
+5.9000000000000004e+00 +3.8929414959443377e-03 +1.6289706488106876e+01 +4.2108126163545398e+11 
+6.0000000000000000e+00 +3.8925262094526942e-03 +1.6296970151958558e+01 +4.2046525021009210e+11 
+6.1000000000000005e+00 +3.8920081255246000e-03 +1.6309676408874275e+01 +4.1507319809109149e+11 
+6.2000000000000002e+00 +3.8913985841178798e-03 +1.6327175267921287e+01 +4.0549648641601453e+11 
+6.3000000000000007e+00 +3.8907141924961405e-03 +1.6348518499491565e+01 +3.9259486787076733e+11 
+6.4000000000000004e+00 +3.8899715579229599e-03 +1.6372757873977950e+01 +3.7722809514099121e+11 
+6.5000000000000000e+00 +3.8891872876619356e-03 +1.6398945161772573e+01 +3.6025592091257159e+11 
+6.6000000000000005e+00 +3.8883779889766598e-03 +1.6426132133267981e+01 +3.4253809787121454e+11 
+6.7000000000000002e+00 +3.8875602691307151e-03 +1.6453370558856758e+01 +3.2493437870265503e+11 
+6.8000000000000007e+00 +3.8867507353877151e-03 +1.6479712208930724e+01 +3.0830451609287170e+11 
+6.9000000000000004e+00 +3.8859659950112313e-03 +1.6504208853882904e+01 +2.9350826272739691e+11 
+7.0000000000000000e+00 +3.8852226552648713e-03 +1.6525912264105234e+01 +2.8140537129221722e+11 
+7.1000000000000005e+00 +3.8845330058544479e-03 +1.6544115721228899e+01 +2.7263886190530344e+11 
+7.2000000000000002e+00 +3.8838920662547290e-03 +1.6559078551838034e+01 +2.6698482441433109e+11 
+7.3000000000000007e+00 +3.8832905383827097e-03 +1.6571301593755329e+01 +2.6400261609926620e+11 
+7.4000000000000004e+00 +3.8827191241553802e-03 +1.6581285684803568e+01 +2.6325159424003323e+11 
+7.5000000000000000e+00 +3.8821685254897191e-03 +1.6589531662806124e+01 +2.6429111611635690e+11 
+7.6000000000000005e+00 +3.8816294443027441e-03 +1.6596540365584797e+01 +2.6668053900853799e+11 
+7.7000000000000002e+00 +3.8810925825114306e-03 +1.6602812630963154e+01 +2.6997922019620001e+11 
+7.8000000000000007e+00 +3.8805486420327804e-03 +1.6608849296763463e+01 +2.7374651695948282e+11 
+7.9000000000000004e+00 +3.8799883247837793e-03 +1.6615151200808853e+01 +2.7754178657818640e+11 
+8.0000000000000000e+00 +3.8794023326814203e-03 +1.6622219180921974e+01 +2.8092438633230267e+11 
+8.0999999999999996e+00 +3.8787832669094197e-03 +1.6630453572487859e+01 +2.8353990262673492e+11 
+8.2000000000000011e+00 +3.8781313257183650e-03 +1.6639852701140207e+01 +2.8537883836653748e+11 
+8.3000000000000007e+00 +3.8774486066255631e-03 +1.6650314390075383e+01 +2.8651792558155664e+11 
+8.4000000000000004e+00 +3.8767372071483184e-03 +1.6661736462489380e+01 +2.8703389630181500e+11 
+8.5000000000000000e+00 +3.8759992248039369e-03 +1.6674016741578328e+01 +2.8700348255727563e+11 
+8.5999999999999996e+00 +3.8752367571097254e-03 +1.6687053050538523e+01 +2.8650341637781586e+11 
+8.7000000000000011e+00 +3.8744519015829915e-03 +1.6700743212565882e+01 +2.8561042979348700e+11 
+8.8000000000000007e+00 +3.8736467557410519e-03 +1.6714985050856431e+01 +2.8440125483426764e+11 
+8.9000000000000004e+00 +3.8728234171011961e-03 +1.6729676388606599e+01 +2.8295262353001428e+11 
+9.0000000000000000e+00 +3.8719839831807554e-03 +1.6744715049011962e+01 +2.8134126791087689e+11 
+9.0999999999999996e+00 +3.8711300541286321e-03 +1.6760015156683103e+01 +2.7963766548264923e+11 
+9.2000000000000011e+00 +3.8702612406202441e-03 +1.6775556041884975e+01 +2.7788727565574323e+11 
+9.3000000000000007e+00 +3.8693766559626170e-03 +1.6791333336296930e+01 +2.7612930331637024e+11 
+9.4000000000000004e+00 +3.8684754134627850e-03 +1.6807342671597802e+01 +2.7440295335097034e+11 
+9.5000000000000000e+00 +3.8675566264277698e-03 +1.6823579679466771e+01 +2.7274743064588211e+11 
+9.6000000000000014e+00 +3.8666194081646062e-03 +1.6840039991583044e+01 +2.7120194008735858e+11 
+9.7000000000000011e+00 +3.8656628719803106e-03 +1.6856719239625843e+01 +2.6980568656172812e+11 
+9.8000000000000007e+00 +3.8646861311819243e-03 +1.6873613055274014e+01 +2.6859787495540717e+11 
+9.9000000000000004e+00 +3.8636882990764538e-03 +1.6890717070207256e+01 +2.6761771015449570e+11 
+1.0000000000000000e+01 +3.8626684889709506e-03 +1.6908026916104070e+01 +2.6690439704557373e+11 
+1.0100000000000001e+01 +3.8616259005141225e-03 +1.6925546476102209e+01 +2.6647939190093674e+11 
+1.0200000000000001e+01 +3.8605600787214021e-03 +1.6943312639173417e+01 +2.6629315653708865e+11 
+1.0300000000000001e+01 +3.8594706549499227e-03 +1.6961370545747926e+01 +2.6627840415653180e+11 
+1.0400000000000000e+01 +3.8583572605568181e-03 +1.6979765336255561e+01 +2.6636784796191901e+11 
+1.0500000000000000e+01 +3.8572195268992016e-03 +1.6998542151126799e+01 +2.6649420115572134e+11 
+1.0600000000000001e+01 +3.8560570853342188e-03 +1.7017746130791455e+01 +2.6659017694056052e+11 
+1.0700000000000001e+01 +3.8548695672189878e-03 +1.7037422415679604e+01 +2.6658848851906079e+11 
+1.0800000000000001e+01 +3.8536566039106390e-03 +1.7057616146221633e+01 +2.6642184909363361e+11 
+1.0900000000000000e+01 +3.8524178267662999e-03 +1.7078372462847437e+01 +2.6602297186696548e+11 
+1.1000000000000000e+01 +3.8511528671431052e-03 +1.7099736505987021e+01 +2.6532457004162363e+11 
+1.1100000000000001e+01 +3.8498612855235280e-03 +1.7121740510687079e+01 +2.6428124490193259e+11 
+1.1200000000000001e+01 +3.8485423588914833e-03 +1.7144365090458752e+01 +2.6293515005979156e+11 
+1.1300000000000001e+01 +3.8471952933562415e-03 +1.7167577953429426e+01 +2.6135032720898175e+11 
+1.1400000000000000e+01 +3.8458192950270608e-03 +1.7191346807726873e+01 +2.5959081804316235e+11 
+1.1500000000000000e+01 +3.8444135700132064e-03 +1.7215639361478537e+01 +2.5772066425606784e+11 
+1.1600000000000001e+01 +3.8429773244239383e-03 +1.7240423322812390e+01 +2.5580390754126404e+11 
+1.1700000000000001e+01 +3.8415097643685388e-03 +1.7265666399855270e+01 +2.5390458959273712e+11 
+1.1800000000000001e+01 +3.8400100959562733e-03 +1.7291336300734930e+01 +2.5208675210410736e+11 
+1.1900000000000000e+01 +3.8384775252963848e-03 +1.7317400733579362e+01 +2.5041443676896393e+11 
+1.2000000000000000e+01 +3.8369112584981562e-03 +1.7343827406515878e+01 +2.4895168528106982e+11 
+1.2100000000000001e+01 +3.8353105246878932e-03 +1.7370599685518329e+01 +2.4774112552678992e+11 
+1.2200000000000001e+01 +3.8336746450600844e-03 +1.7397763567947379e+01 +2.4673973016203989e+11 
+1.2300000000000001e+01 +3.8320029638262429e-03 +1.7425380709010234e+01 +2.4588305803535803e+11 
+1.2400000000000000e+01 +3.8302948251979119e-03 +1.7453512763913402e+01 +2.4510666799547470e+11 
+1.2500000000000000e+01 +3.8285495733866005e-03 +1.7482221387864417e+01 +2.4434611889078287e+11 
+1.2600000000000001e+01 +3.8267665526038521e-03 +1.7511568236070026e+01 +2.4353696956987534e+11 
+1.2700000000000001e+01 +3.8249451070611847e-03 +1.7541614963737238e+01 +2.4261477888136563e+11 
+1.2800000000000001e+01 +3.8230845809701301e-03 +1.7572423226073013e+01 +2.4151510567381540e+11 
+1.2900000000000000e+01 +3.8211843185422148e-03 +1.7604054678284420e+01 +2.4017350879575519e+11 
+1.3000000000000000e+01 +3.8192436639889592e-03 +1.7636570975578586e+01 +2.3852554709570770e+11 
+1.3100000000000001e+01 +3.8172620967436783e-03 +1.7670004607079775e+01 +2.3653763749181561e+11 
+1.3200000000000001e+01 +3.8152396371268012e-03 +1.7704271397581984e+01 +2.3429962918029657e+11 
+1.3300000000000001e+01 +3.8131764406805361e-03 +1.7739258005796728e+01 +2.3193222942686093e+11 
+1.3400000000000000e+01 +3.8110726629470991e-03 +1.7774851090435412e+01 +2.2955614549723727e+11 
+1.3500000000000000e+01 +3.8089284594686962e-03 +1.7810937310209592e+01 +2.2729208465712567e+11 
+1.3600000000000001e+01 +3.8067439857875389e-03 +1.7847403323830676e+01 +2.2526075417228323e+11 
+1.3700000000000001e+01 +3.8045193974458433e-03 +1.7884135790009896e+01 +2.2358286130849820e+11 
+1.3800000000000001e+01 +3.8022548499858206e-03 +1.7921021367458692e+01 +2.2237911333152771e+11 
+1.3900000000000000e+01 +3.7999504989496761e-03 +1.7957946714888841e+01 +2.2177021750694980e+11 
+1.4000000000000000e+01 +3.7976064998796214e-03 +1.7994798491011597e+01 +2.2187688110058649e+11 
+1.4100000000000001e+01 +3.7952222708430967e-03 +1.8031525804557344e+01 +2.2276288286623550e+11 
+1.4200000000000001e+01 +3.7927942800083585e-03 +1.8068327564334776e+01 +2.2426428750906805e+11 
+1.4300000000000001e+01 +3.7903182580689360e-03 +1.8105465129170565e+01 +2.2616023122263852e+11 
+1.4400000000000000e+01 +3.7877899357183012e-03 +1.8143199857892618e+01 +2.2822985020010938e+11 
+1.4500000000000000e+01 +3.7852050436499684e-03 +1.8181793109327703e+01 +2.3025228063500647e+11 
+1.4600000000000001e+01 +3.7825593125574313e-03 +1.8221506242303434e+01 +2.3200665872059616e+11 
+1.4700000000000001e+01 +3.7798484731341826e-03 +1.8262600615647294e+01 +2.3327212065012653e+11 
+1.4800000000000001e+01 +3.7770682560737223e-03 +1.8305337588186379e+01 +2.3382780261707672e+11 
+1.4900000000000000e+01 +3.7742143920695484e-03 +1.8349978518748131e+01 +2.3345284081471304e+11 
+1.5000000000000000e+01 +3.7712826118151774e-03 +1.8396784766159374e+01 +2.3192637143655615e+11 
+1.5100000000000001e+01 +3.7682707330944231e-03 +1.8445872463454457e+01 +2.2915589073049292e+11 
+1.5200000000000001e+01 +3.7651849220525402e-03 +1.8496776840490750e+01 +2.2556233516425256e+11 
+1.5300000000000001e+01 +3.7620334319251299e-03 +1.8548887901331884e+01 +2.2169500126038202e+11 
+1.5400000000000000e+01 +3.7588245159477542e-03 +1.8601595650042498e+01 +2.1810318554107535e+11 
+1.5500000000000000e+01 +3.7555664273560153e-03 +1.8654290090686114e+01 +2.1533618452890552e+11 
+1.5600000000000001e+01 +3.7522674193854987e-03 +1.8706361227326870e+01 +2.1394329474623264e+11 
+1.5700000000000001e+01 +3.7489357452717867e-03 +1.8757199064028729e+01 +2.1447381271547916e+11 
+1.5800000000000001e+01 +3.7455796582504786e-03 +1.8806193604855526e+01 +2.1747703495909601e+11 
+1.5900000000000000e+01 +3.7422074115571551e-03 +1.8852734853871262e+01 +2.2350225799950043e+11 
+1.6000000000000000e+01 +3.7388272584273916e-03 +1.8896212815140323e+01 +2.3309877835897729e+11 
+1.6100000000000001e+01 +3.7354429744988612e-03 +1.8936295943392075e+01 +2.4656936077280612e+11 
+1.6199999999999999e+01 +3.7320404250174070e-03 +1.8973766496022847e+01 +2.6323064282569620e+11 
+1.6300000000000001e+01 +3.7286009976309799e-03 +1.9009685181093801e+01 +2.8215273031541638e+11 
+1.6400000000000002e+01 +3.7251060799875224e-03 +1.9045112706666067e+01 +3.0240572903979529e+11 
+1.6500000000000000e+01 +3.7215370597349540e-03 +1.9081109780801771e+01 +3.2305974479627460e+11 
+1.6600000000000001e+01 +3.7178753245212179e-03 +1.9118737111562325e+01 +3.4318488338251947e+11 
+1.6699999999999999e+01 +3.7141022619942431e-03 +1.9159055407009248e+01 +3.6185125059621307e+11 
+1.6800000000000001e+01 +3.7101992598019590e-03 +1.9203125375204358e+01 +3.7812895223491400e+11 
+1.6900000000000002e+01 +3.7061477055923119e-03 +1.9252007724208944e+01 +3.9108809409632617e+11 
+1.7000000000000000e+01 +3.7019289870132226e-03 +1.9306763162084806e+01 +3.9979878197803949e+11 
+1.7100000000000001e+01 +3.6975305048373335e-03 +1.9368083495358636e+01 +4.0365060353846130e+11 
+1.7199999999999999e+01 +3.6929637123360825e-03 +1.9435184924418422e+01 +4.0331107387885217e+11 
+1.7300000000000001e+01 +3.6882460759056030e-03 +1.9506914748117559e+01 +3.9976718996112427e+11 
+1.7400000000000002e+01 +3.6833950619420300e-03 +1.9582120265309332e+01 +3.9400594874725195e+11 
+1.7500000000000000e+01 +3.6784281368415182e-03 +1.9659648774846509e+01 +3.8701434719938092e+11 
+1.7600000000000001e+01 +3.6733627670002028e-03 +1.9738347575582452e+01 +3.7977938227948053e+11 
+1.7699999999999999e+01 +3.6682164188142127e-03 +1.9817063966370554e+01 +3.7328805094947314e+11 
+1.7800000000000001e+01 +3.6630065586796944e-03 +1.9894645246063867e+01 +3.6852735017139557e+11 
+1.7900000000000002e+01 +3.6577506529927900e-03 +1.9969938713515599e+01 +3.6648427690725336e+11 
+1.8000000000000000e+01 +3.6524661681496284e-03 +2.0041791667579204e+01 +3.6814582811894818e+11 
+1.8100000000000001e+01 +3.6471651279020348e-03 +2.0109372718328196e+01 +3.7423170070290698e+11 
+1.8199999999999999e+01 +3.6418377854246023e-03 +2.0173135720716608e+01 +3.8439239129341302e+11 
+1.8300000000000001e+01 +3.6364689512475845e-03 +2.0233855840919727e+01 +3.9801109645885425e+11 
+1.8400000000000002e+01 +3.6310434359012370e-03 +2.0292308245112412e+01 +4.1447101276777429e+11 
+1.8500000000000000e+01 +3.6255460499158339e-03 +2.0349268099469349e+01 +4.3315533678875317e+11 
+1.8600000000000001e+01 +3.6199616038216234e-03 +2.0405510570165756e+01 +4.5344726509020996e+11 
+1.8699999999999999e+01 +3.6142749081488866e-03 +2.0461810823375984e+01 +4.7472999424085962e+11 
+1.8800000000000001e+01 +3.6084707734278807e-03 +2.0518944025275179e+01 +4.9638672080909528e+11 
+1.8900000000000002e+01 +3.6025340101888612e-03 +2.0577685342038190e+01 +5.1780064136349695e+11 
+1.9000000000000000e+01 +3.5964494289621065e-03 +2.0638809939839696e+01 +5.3835495247261871e+11 
+1.9100000000000001e+01 +3.5902065316203028e-03 +2.0702825111955356e+01 +5.5762526995615552e+11 
+1.9200000000000003e+01 +3.5838135854058769e-03 +2.0769166660063391e+01 +5.7595688663843896e+11 
+1.9300000000000001e+01 +3.5772835489036709e-03 +2.0837002512943293e+01 +5.9388751459479626e+11 
+1.9400000000000002e+01 +3.5706293806985513e-03 +2.0905500599373607e+01 +6.1195486590088696e+11 
+1.9500000000000000e+01 +3.5638640393753709e-03 +2.0973828848133515e+01 +6.3069665263211597e+11 
+1.9600000000000001e+01 +3.5570004835189903e-03 +2.1041155188002019e+01 +6.5065058686396643e+11 
+1.9700000000000003e+01 +3.5500516717142500e-03 +2.1106647547758339e+01 +6.7235438067188489e+11 
+1.9800000000000001e+01 +3.5430305625460136e-03 +2.1169473856181462e+01 +6.9634574613131787e+11 
+1.9900000000000002e+01 +3.5359501145991322e-03 +2.1228802042050503e+01 +7.2316239531773804e+11 
+2.0000000000000000e+01 +3.5288232864584775e-03 +2.1283800034143855e+01 +7.5334204030685657e+11 
+2.0100000000000001e+01 +3.5216591118733373e-03 +2.1333831896145099e+01 +7.8728134415046631e+11 
+2.0200000000000003e+01 +3.5144509252508023e-03 +2.1379046231352653e+01 +8.2481277380694226e+11 
+2.0300000000000001e+01 +3.5071881361624104e-03 +2.1419787777969514e+01 +8.6562774721092285e+11 
+2.0400000000000002e+01 +3.4998601541797146e-03 +2.1456401274197617e+01 +9.0941768229746643e+11 
+2.0500000000000000e+01 +3.4924563888742554e-03 +2.1489231458239665e+01 +9.5587399700131519e+11 
+2.0600000000000001e+01 +3.4849662498175607e-03 +2.1518623068298400e+01 +1.0046881092572888e+12 
+2.0700000000000003e+01 +3.4773791465811813e-03 +2.1544920842576225e+01 +1.0555514370002125e+12 
+2.0800000000000001e+01 +3.4696844887366555e-03 +2.1568469519275652e+01 +1.1081553981649683e+12 
+2.0900000000000002e+01 +3.4618716858555313e-03 +2.1589613836599110e+01 +1.1621914106864070e+12 
+2.1000000000000000e+01 +3.4539301475093307e-03 +2.1608698532749539e+01 +1.2173508924992244e+12 
+2.1100000000000001e+01 +3.4458531959437309e-03 +2.1625909775946987e+01 +1.2734100814831665e+12 
+2.1200000000000003e+01 +3.4376498041008199e-03 +2.1640799454484370e+01 +1.3304844952966399e+12 
+2.1300000000000001e+01 +3.4293328575968232e-03 +2.1652760886672255e+01 +1.3887744715429304e+12 
+2.1400000000000002e+01 +3.4209152420479820e-03 +2.1661187390820576e+01 +1.4484803478255417e+12 
+2.1500000000000000e+01 +3.4124098430704844e-03 +2.1665472285240678e+01 +1.5098024617474907e+12 
+2.1600000000000001e+01 +3.4038295462805756e-03 +2.1665008888242532e+01 +1.5729411509122651e+12 
+2.1700000000000003e+01 +3.3951872372944775e-03 +2.1659190518136558e+01 +1.6380967529231777e+12 
+2.1800000000000001e+01 +3.3864958017284061e-03 +2.1647410493233480e+01 +1.7054696053834827e+12 
+2.1900000000000002e+01 +3.3777681251985626e-03 +2.1629062131844293e+01 +1.7752600458963059e+12 
+2.2000000000000000e+01 +3.3690170933212064e-03 +2.1603538752278613e+01 +1.8476684120652444e+12 
+2.2100000000000001e+01 +3.3602550469789124e-03 +2.1570177443644482e+01 +1.9229312110035735e+12 
+2.2200000000000003e+01 +3.3514921481198477e-03 +2.1528090378235646e+01 +2.0014296278660457e+12 
+2.2300000000000001e+01 +3.3427380139585405e-03 +2.1476333499143195e+01 +2.0835810173174077e+12 
+2.2400000000000002e+01 +3.3340022617095373e-03 +2.1413962749457777e+01 +2.1698027340225935e+12 
+2.2500000000000000e+01 +3.3252945085873683e-03 +2.1340034072270402e+01 +2.2605121326463911e+12 
+2.2600000000000001e+01 +3.3166243718065749e-03 +2.1253603410672003e+01 +2.3561265678536001e+12 
+2.2700000000000003e+01 +3.3080014685816805e-03 +2.1153726707753624e+01 +2.4570633943090386e+12 
+2.2800000000000001e+01 +3.2994354161272380e-03 +2.1039459906605902e+01 +2.5637399666776001e+12 
+2.2900000000000002e+01 +3.2909358316577705e-03 +2.0909858950319943e+01 +2.6765736396240825e+12 
+2.3000000000000000e+01 +3.2825123323878113e-03 +2.0763979781986841e+01 +2.7959817678132275e+12 
+2.3100000000000001e+01 +3.2741729574543555e-03 +2.0601128963403092e+01 +2.9221713542921206e+12 
+2.3200000000000003e+01 +3.2659194336840999e-03 +2.0421615531191438e+01 +3.0545079956354961e+12 
+2.3300000000000001e+01 +3.2577519098262128e-03 +2.0225999140679999e+01 +3.1921469368004009e+12 
+2.3400000000000002e+01 +3.2496705346298374e-03 +2.0014839447197467e+01 +3.3342434227437109e+12 
+2.3500000000000000e+01 +3.2416754568441392e-03 +1.9788696106072074e+01 +3.4799526984224155e+12 
+2.3600000000000001e+01 +3.2337668252182634e-03 +1.9548128772632378e+01 +3.6284300087934424e+12 
+2.3700000000000003e+01 +3.2259447885013737e-03 +1.9293697102206515e+01 +3.7788305988138540e+12 
+2.3800000000000001e+01 +3.2182094954426215e-03 +1.9025960750123271e+01 +3.9303097134404224e+12 
+2.3900000000000002e+01 +3.2105610947911647e-03 +1.8745479371710783e+01 +4.0820225976302510e+12 
+2.4000000000000000e+01 +3.2029997352961441e-03 +1.8452812622297859e+01 +4.2331244963401274e+12 
+2.4100000000000001e+01 +3.1955074238917704e-03 +1.8149423995848334e+01 +4.3819138108027173e+12 
+2.4200000000000003e+01 +3.1879936002523826e-03 +1.7840392340869734e+01 +4.5232615673527764e+12 
+2.4300000000000001e+01 +3.1803495622373616e-03 +1.7531700344505751e+01 +4.6511819486004756e+12 
+2.4400000000000002e+01 +3.1724666077060843e-03 +1.7229330693899538e+01 +4.7596891371562109e+12 
+2.4500000000000000e+01 +3.1642360345179371e-03 +1.6939266076194421e+01 +4.8427973156303301e+12 
+2.4600000000000001e+01 +3.1555491405323168e-03 +1.6667489178533572e+01 +4.8945206666331406e+12 
+2.4700000000000003e+01 +3.1462972236085771e-03 +1.6419982688060770e+01 +4.9088733727748604e+12 
+2.4800000000000001e+01 +3.1363715816061207e-03 +1.6202729291919130e+01 +4.8798696166658740e+12 
+2.4900000000000002e+01 +3.1256635123843354e-03 +1.6021711677251648e+01 +4.8015235809165918e+12 
+2.5000000000000000e+01 +3.1140643138025865e-03 +1.5882912531202178e+01 +4.6678494481371758e+12 
+2.5100000000000001e+01 +3.1015091559977604e-03 +1.5789914543174493e+01 +4.4754312919889238e+12 
+2.5200000000000003e+01 +3.0881086982166958e-03 +1.5736700411616182e+01 +4.2311327503362749e+12 
+2.5300000000000001e+01 +3.0740174719837473e-03 +1.5714852837234618e+01 +3.9443873520950269e+12 
+2.5400000000000002e+01 +3.0593900088232416e-03 +1.5715954520738478e+01 +3.6246286261803306e+12 
+2.5500000000000000e+01 +3.0443808402595214e-03 +1.5731588162835298e+01 +3.2812901015078911e+12 
+2.5600000000000001e+01 +3.0291444978169427e-03 +1.5753336464232738e+01 +2.9238053069932783e+12 
+2.5700000000000003e+01 +3.0138355130198136e-03 +1.5772782125639715e+01 +2.5616077715516836e+12 
+2.5800000000000001e+01 +2.9986084173925162e-03 +1.5781507847763162e+01 +2.2041310240989268e+12 
+2.5900000000000002e+01 +2.9836177424593566e-03 +1.5771096331311785e+01 +1.8608085935502585e+12 
+2.6000000000000000e+01 +2.9690180197446993e-03 +1.5733130276993043e+01 +1.5410740088213481e+12 
